GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK/AerialAbility,GK/CommandOfArea,GK/Communication,GK/Eccentricity,GK/Handling,GK/Kicking,GK/OneOnOnes,GK/Reflexes,GK/RushingOut,GK/TendencyToPunch,GK/Throwing,Tech/Corners,Tech/Crossing,Tech/Dribbling,Tech/Finishing,Tech/FirstTouch,Tech/Freekicks,Tech/Heading,Tech/LongShots,Tech/Longthrows,Tech/Marking,Tech/Passing,Tech/PenaltyTaking,Tech/Tackling,Tech/Technique,Mental/Aggression,Mental/Anticipation,Mental/Bravery,Mental/Composure,Mental/Concentration,Mental/Vision,Mental/Decisions,Mental/Determination,Mental/Flair,Mental/Leadership,Mental/OffTheBall,Mental/Positioning,Mental/Teamwork,Mental/Workrate,Phy/Acceleration,Phy/Agility,Phy/Balance,Phy/Jumping,Phy/LeftFoot,Phy/NaturalFitness,Phy/Pace,Phy/RightFoot,Phy/Stamina,Phy/Strength,Hidden/Consistency,Hidden/Dirtiness,Hidden/ImportantMatches,Hidden/InjuryProness,Hidden/Versatility,Personality/Adaptability,Personality/Ambition,Personality/Loyalty,Personality/Pressure,Personality/Professional,Personality/Sportsmanship,Personality/Temperament,Personality/Controversy,Positions/PositionsDesc,Positions/PositionsDescVal,Positions/Striker,Positions/AttackingMidfielder,Positions/Centre,Positions/Defender,Positions/DefensiveMidfielder,Positions/Goalkeeper,Positions/Left,Positions/Midfielder,Positions/Right,Positions/Sweeper,Positions/WingBack,Positions/AttackingMidCentral,Positions/AttackingMidLeft,Positions/AttackingMidRight,Positions/DefenderCentral,Positions/DefenderLeft,Positions/DefenderRight,Positions/MidfielderCentral,Positions/MidfielderLeft,Positions/MidfielderRight,Positions/WingBackLeft,Positions/WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
29/6/2010,João Pedro,19069586,1651,3/9/1992,18,0,0,0,0,1750,5550,5550,148,111,5138415,184,73,DM/M/AM/S C,3,2,1,2,1,3,3,4,1,2,2,13,9,12,12,12,10,10,11,6,9,12,11,10,12,11,12,13,11,13,13,11,13,12,8,12,11,11,11,12,10,12,12,10,12,12,20,13,11,10,12,7,9,15,7,14,10,12,9,10,11,7,DM/M/AM/S C,441,17,20,20,1,18,1,1,20,1,1,1,20,1,1,1,1,1,18,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,João Amorim,55013138,788,2/11/1992,18,0,0,0,0,750,1500,1500,140,70,2924,182,73,M/AM C,1,3,3,2,3,3,3,2,1,2,2,10,9,9,8,9,8,6,6,5,7,10,9,5,10,11,12,10,10,12,11,11,10,12,14,10,10,11,10,11,10,10,7,9,12,10,20,9,9,15,9,5,11,11,10,14,14,5,11,11,13,4,M/AM C,411,1,20,20,1,1,1,7,20,7,1,1,20,7,7,1,1,1,15,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,James Rodríguez,76002390,1653,7/12/1991,18,0,0,11,3,2000,6350,4000,169,134,25142501,178,74,M/AM LC,1,2,3,2,1,1,2,5,1,1,3,13,14,16,12,15,14,5,15,6,8,14,13,7,16,9,10,11,11,11,12,12,16,15,9,14,9,11,10,15,17,13,7,20,13,15,8,9,9,8,5,10,8,15,15,16,12,14,15,15,17,10,M/AM LC,414,1,20,17,1,10,1,20,20,14,1,1,17,20,14,1,1,1,15,16,10,1,1,34359738624,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Jack Wilshere,29024338,765,1/1/1992,18,0,0,5,0,4556,7250,7250,165,135,-1,172,65,M/AM RLC,1,2,2,1,3,1,3,6,2,1,2,12,12,15,11,14,11,3,11,5,5,15,14,10,16,15,13,15,14,11,14,11,16,16,7,14,9,13,14,14,15,15,5,20,13,13,8,11,11,12,12,14,5,15,8,15,11,15,15,10,8,5,M/AM RLC,416,1,20,20,1,1,1,17,20,18,1,1,20,17,18,1,1,1,17,15,15,1,1,7.09208E+11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
29/6/2010,Daniele Ragatzu,43024335,776,9/21/1991,18,0,0,0,0,250,5129,5000,145,114,4212078,172,70,AM/S LC,2,3,1,1,1,2,1,4,1,3,2,7,7,13,11,10,6,6,8,7,6,10,11,9,12,13,12,11,10,10,9,9,10,10,7,14,5,12,12,15,17,11,6,11,17,14,20,14,11,9,3,8,7,14,8,4,16,12,17,7,16,12,AM/S LC,624,20,17,20,1,1,1,17,12,1,1,1,15,17,1,1,1,1,1,12,1,1,1,2.32217E+15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29/6/2010,Coutinho,19046041,1651,6/12/1992,18,0,0,7,3,3660,6350,6350,170,121,35372690,172,64,M/AM C,1,2,3,2,3,1,2,2,2,3,1,12,12,16,11,15,9,6,12,3,6,13,10,5,16,11,12,11,11,13,13,13,13,16,5,13,6,13,13,14,16,9,6,7,14,15,20,13,9,12,7,11,7,12,16,16,6,13,18,14,16,8,M/AM C,411,15,20,20,1,1,1,13,20,1,1,1,20,13,1,1,1,1,18,10,1,1,1,1048576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Adem Ljajic,62012544,802,9/13/1991,18,0,0,10,1,4250,6300,5950,167,132,26496936,181,73,M/AM RLC,2,2,2,2,2,1,2,2,3,1,2,8,14,15,12,14,10,12,12,10,7,14,11,5,15,14,10,12,11,10,13,11,13,15,5,12,12,12,12,15,14,11,12,10,13,14,20,11,10,12,4,11,8,10,14,15,13,14,13,13,11,8,M/AM RLC,416,1,20,18,1,1,1,15,20,20,1,1,18,15,20,1,1,1,15,15,15,1,1,1056,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zvonko Pamic,24004366,761,2/4/1991,19,0,0,1,0,2750,5600,5750,154,117,1023867,185,75,M/AM C,3,1,3,3,1,3,1,5,1,2,3,15,15,12,11,12,14,12,10,3,8,15,15,10,13,11,12,14,10,9,14,10,15,12,8,12,9,13,16,12,12,10,14,9,14,12,20,16,12,12,7,13,7,10,12,15,14,13,14,13,13,4,M/AM C,411,1,20,20,1,13,1,1,20,1,1,1,20,1,1,1,1,1,19,1,1,1,1,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yannis Salibur,8434934,769,1/24/1991,19,0,0,0,0,1300,2600,2600,148,105,2578959,176,74,M/AM LC,2,1,3,3,3,2,1,8,2,1,2,12,12,13,7,13,10,8,8,6,4,9,8,4,15,7,10,11,11,11,11,8,11,14,6,13,5,7,12,17,12,12,8,20,13,13,5,13,12,11,7,14,9,8,12,14,12,7,10,13,13,9,M/AM LC,414,10,20,17,1,1,1,20,20,1,1,1,17,20,1,1,1,1,15,15,1,1,1,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Victor Moses,5007466,765,12/12/1990,19,0,0,0,0,3600,6150,6150,139,126,6268216,178,75,AM/S RLC,1,3,2,1,2,2,3,4,3,3,3,7,10,15,11,12,8,8,9,15,3,11,8,4,13,7,8,8,13,5,10,6,8,17,6,11,7,8,10,14,12,11,8,13,10,14,20,9,12,5,10,10,12,13,11,14,12,11,11,8,12,7,AM/S RLC,626,20,17,20,1,1,1,17,12,17,1,1,17,17,17,1,1,1,1,12,12,1,1,8.79953E+13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
29/6/2010,Thiago,67022040,796,4/11/1991,19,0,0,0,0,3721,6250,6250,158,122,3676403,170,65,M/AM C,3,3,2,3,1,1,2,4,1,3,2,13,13,15,9,14,9,7,11,4,8,14,12,7,17,7,14,8,12,9,15,14,13,18,8,14,7,8,10,13,14,8,7,12,11,12,20,13,8,13,8,12,7,11,15,15,8,11,14,8,12,7,M/AM C,411,1,20,20,1,10,1,10,20,10,1,1,20,10,10,1,1,1,18,10,10,1,1,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Sergio Canales,67053076,796,2/16/1991,19,0,0,0,0,5184,7000,7000,179,144,28983635,176,65,M/AM C,1,2,2,2,3,1,2,4,2,3,1,15,14,16,12,18,14,6,13,7,4,17,13,7,18,7,13,10,17,12,19,13,14,19,9,14,7,13,11,13,16,10,8,20,11,12,11,12,6,10,6,15,6,10,12,16,9,13,13,15,13,7,M/AM C,411,8,20,20,1,5,1,12,20,10,1,1,20,12,10,1,1,1,15,9,7,1,1,1.75922E+13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29/6/2010,Rúben Brígido,55024524,788,6/23/1991,19,0,0,0,0,1000,4500,4500,131,93,701042,171,65,M/AM C,1,1,3,3,3,3,3,6,1,1,2,11,12,13,10,13,11,7,10,2,6,11,12,7,13,8,13,9,10,11,13,12,10,12,9,12,8,11,13,12,12,8,7,8,8,12,20,8,7,10,12,1,8,10,11,13,17,8,19,15,8,8,M/AM C,411,1,20,20,1,1,1,10,20,10,1,1,20,10,10,1,1,1,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Rober,67093058,796,2/14/1991,19,0,0,0,0,1225,3000,3000,94,70,277249,170,63,S C,1,1,2,1,2,2,2,1,2,2,1,5,10,11,13,11,3,13,6,3,2,9,9,2,7,15,7,9,13,7,7,10,10,7,13,11,7,11,13,13,10,7,5,9,15,12,20,9,4,10,8,10,12,10,13,18,12,14,14,9,9,14,S C,601,20,15,20,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Panagiotis Tachtsidis,36018958,772,2/15/1991,19,9,0,0,0,2500,5000,5000,121,100,731249,191,86,M C,3,2,1,3,1,1,1,6,2,2,1,11,14,12,10,10,13,11,14,8,8,14,13,7,14,12,11,10,10,9,14,12,13,9,8,10,10,13,11,8,7,16,14,20,13,10,8,12,16,12,8,12,7,6,12,18,10,12,10,13,14,10,M C,401,5,15,20,3,13,1,10,20,5,1,1,15,5,3,3,1,1,20,10,5,1,1,2.74878E+11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29/6/2010,Lukman Haruna,29022525,38,12/4/1990,19,7,1,15,1,3844,6200,5550,170,124,9157307,185,77,M/AM C,2,1,2,2,1,1,1,7,3,1,1,10,8,15,8,15,12,11,13,5,7,13,12,11,15,14,12,13,11,11,12,11,13,13,9,12,8,12,15,14,13,14,12,8,13,13,20,15,14,13,14,15,8,10,11,14,13,12,11,9,15,8,M/AM C,411,1,17,20,1,15,1,1,20,1,1,1,17,1,1,1,1,1,20,1,1,1,1,3.51844E+13,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29/6/2010,Lewis Holtby,91000734,771,9/18/1990,19,0,0,2,0,3000,6600,6600,169,132,12137148,174,66,M/AM RLC,3,2,2,1,3,1,1,4,1,3,2,12,15,14,10,16,11,5,12,6,7,16,10,5,15,12,11,8,9,8,17,12,13,15,6,14,5,8,13,14,17,9,6,20,11,13,15,12,6,9,7,11,4,9,14,15,11,7,15,12,14,6,M/AM RLC,416,10,20,19,1,8,1,20,20,15,1,1,19,20,15,1,1,1,15,15,15,1,1,1.41287E+14,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
29/6/2010,Levan Kenia,29024420,770,10/18/1990,19,15,3,0,0,2750,6400,6200,175,124,14496621,176,70,M/AM C,1,2,2,3,2,1,3,5,2,1,3,12,10,14,7,14,13,4,11,5,14,13,8,10,15,17,13,17,9,8,11,9,12,17,5,14,7,16,15,16,16,14,7,20,3,15,12,9,8,9,4,9,18,10,5,12,14,8,13,1,9,13,M/AM C,411,1,20,20,1,1,1,1,20,1,1,1,20,1,1,1,1,1,19,1,1,1,1,17825924,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Joel Chukwuma Obi,43008775,38,5/22/1991,19,0,0,0,0,1500,3000,5000,131,100,1473707,177,70,M/AM C,1,1,1,1,1,1,1,1,1,1,1,11,11,13,8,10,7,5,9,4,7,11,10,7,13,15,11,9,10,7,10,9,13,14,8,11,9,9,9,15,16,11,7,20,15,14,10,13,8,13,11,13,8,16,15,12,13,13,6,7,12,9,M/AM C,411,1,18,20,1,1,1,13,20,13,1,1,18,13,13,1,1,1,20,13,13,1,1,34493956100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,James McCarthy,61002273,789,11/12/1990,19,1,0,5,0,3906,6000,6350,156,125,13534989,181,63,DM/M/AM RC,1,3,2,1,3,1,1,3,3,1,2,10,11,13,14,12,5,10,13,4,7,15,8,11,17,10,11,11,11,7,12,11,10,12,5,15,11,13,14,14,12,10,8,10,14,13,20,15,5,11,8,14,5,10,12,5,18,14,15,10,10,17,DM/M/AM RC,433,1,20,20,1,17,1,10,20,15,1,1,20,10,13,1,1,1,20,10,15,1,1,51539609760,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Ilkay Gündogan,91003875,771,10/24/1990,19,0,0,0,0,2750,6400,6400,160,123,10214960,180,75,M/AM C,1,1,3,2,2,1,2,8,1,1,2,12,12,15,11,16,13,8,14,11,9,16,12,9,16,10,14,8,11,12,15,12,10,14,10,12,12,11,10,12,15,9,9,7,12,12,20,12,9,9,8,11,10,14,9,11,11,14,14,13,6,6,M/AM C,411,1,20,20,1,11,1,11,20,11,1,1,20,11,11,1,1,1,18,11,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Frédéric Bulot,34000470,769,9/27/1990,19,0,0,0,0,150,5084,2800,160,113,2977406,182,70,M/AM LC,1,2,3,2,2,1,1,6,3,2,1,9,12,13,7,13,9,8,11,5,3,11,8,3,16,9,11,10,8,12,14,10,13,14,6,12,6,11,10,17,13,13,11,20,13,15,5,13,11,13,6,2,11,10,13,15,13,5,13,15,15,7,M/AM LC,414,10,20,20,1,8,1,16,20,10,1,1,20,16,10,1,1,1,15,15,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Eden Hazard,18004418,757,1/7/1991,19,12,0,0,0,6006,7000,7000,180,155,19306756,170,69,M/AM LC,1,3,3,1,1,3,1,3,1,3,2,14,12,18,8,17,13,7,13,5,2,15,13,3,17,8,12,9,13,14,15,12,14,16,6,13,7,11,12,18,16,13,5,14,14,15,20,14,12,14,8,15,7,8,15,16,16,14,15,14,14,5,M/AM LC,414,10,20,20,1,1,1,18,20,14,1,1,20,18,14,1,1,1,15,15,10,1,1,2.25183E+15,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
