name,Market Value,current league
Steven Gerrard,£32.40m ,Premier League
Alberto Aquilani,£12.60m ,Premier League
Raúl Meireles,£11.70m ,Premier League
Jonjo Shelvey,£1.80m ,Premier League
Joe Cole,£11.70m ,Premier League
Maxi Rodríguez,£8.10m ,Premier League
Milan Jovanovic,£6.30m ,Premier League
Ryan Babel,£6.30m ,Premier League
Dani Pacheco,£90Th. ,Premier League
Dirk Kuyt,£13.50m ,Premier League
Tom Ince, ,Premier League
David Amoo, ,Premier League
Fernando Torres,£41.40m ,Premier League
Luis Suárez,£22.50m ,Premier League
Andy Carroll,£18.00m ,Premier League
David N'Gog,£4.50m ,Premier League
Nathan Eccleston,- ,Premier League
Lauri Dalla Valle, ,Premier League
Lukasz Fabianski,£3.60m ,Premier League
Manuel Almunia,£2.70m ,Premier League
Wojciech Szczesny,£1.80m ,Premier League
Vito Mannone,£900Th. ,Premier League
James Shea,£45Th. ,Premier League
Jens Lehmann,- ,Premier League
Thomas Vermaelen,£16.20m ,Premier League
Laurent Koscielny,£9.00m ,Premier League
Johan Djourou,£5.85m ,Premier League
Sébastien Squillaci,£5.40m ,Premier League
Havard Nordtveit,£1.80m ,Premier League
Ignasi Miquel,- ,Premier League
Gaël Clichy,£13.50m ,Premier League
Kieran Gibbs,£3.15m ,Premier League
Bacary Sagna,£15.30m ,Premier League
Emmanuel Eboué,£5.85m ,Premier League
Alex Song,£15.30m ,Premier League
Denílson,£8.10m ,Premier League
Craig Eastmond,£450Th. ,Premier League
Cesc Fàbregas,£49.50m ,Premier League
Jack Wilshere,£9.00m ,Premier League
Abou Diaby,£8.10m ,Premier League
Aaron Ramsey,£5.40m ,Premier League
Henri Lansbury,£540Th. ,Premier League
Conor Henderson,£45Th. ,Premier League
Samir Nasri,£22.50m ,Premier League
Tomas Rosicky,£6.75m ,Premier League
Theo Walcott,£12.60m ,Premier League
Carlos Vela,£4.50m ,Premier League
Andrey Arshavin,£18.90m ,Premier League
Robin van Persie,£21.60m ,Premier League
Marouane Chamakh,£15.30m ,Premier League
Nicklas Bendtner,£7.65m ,Premier League
Jay Emmanuel-Thomas,£270Th. ,Premier League
Heurelho Gomes,£9.00m ,Premier League
Stipe Pletikosa,£2.25m ,Premier League
Carlo Cudicini,£900Th. ,Premier League
David Button,£113Th. ,Premier League
Ben Alnwick,£90Th. ,Premier League
Vedran Corluka,£10.80m ,Premier League
Michael Dawson,£9.90m ,Premier League
Younès Kaboul,£6.75m ,Premier League
William Gallas,£6.75m ,Premier League
Sébastien Bassong,£6.75m ,Premier League
Ledley King,£5.40m ,Premier League
Jonathan Woodgate,£3.60m ,Premier League
Bongani Khumalo,£900Th. ,Premier League
Steven Caulker,£45Th. ,Premier League
Benoît Assou-Ekotto,£7.65m ,Premier League
Danny Rose,£450Th. ,Premier League
Alan Hutton,£6.75m ,Premier League
Kyle Naughton,£1.80m ,Premier League
Kyle Walker,£1.80m ,Premier League
Wilson Palacios,£12.60m ,Premier League
Tom Huddlestone,£10.80m ,Premier League
Sandro,£7.20m ,Premier League
Jake Livermore,£270Th. ,Premier League
Luka Modric,£25.20m ,Premier League
Jermaine Jenas,£7.65m ,Premier League
John Bostock,£270Th. ,Premier League
David Bentley,£6.30m ,Premier League
Rafael van der Vaart,£18.00m ,Premier League
Niko Kranjcar,£9.00m ,Premier League
Steven Pienaar,£9.90m ,Premier League
Gareth Bale,£22.50m ,Premier League
Aaron Lennon,£18.90m ,Premier League
Andros Townsend,£450Th. ,Premier League
Giovani dos Santos,£4.50m ,Premier League
Jermain Defoe,£16.20m ,Premier League
Peter Crouch,£10.80m ,Premier League
Roman Pavlyuchenko,£8.10m ,Premier League
Robbie Keane,£6.30m ,Premier League
Brad Friedel,£2.70m ,Premier League
Brad Guzan,£900Th. ,Premier League
Andy Marshall,£225Th. ,Premier League
Richard Dunne,£9.00m ,Premier League
Carlos Cuéllar,£7.65m ,Premier League
James Collins,£6.30m ,Premier League
Curtis Davies,£4.05m ,Premier League
Ciaran Clark,£2.25m ,Premier League
Nathan Baker,- ,Premier League
Shane Lowry,- ,Premier League
Stephen Warnock,£8.55m ,Premier League
Luke Young,£3.60m ,Premier League
Kyle Walker,£1.80m ,Premier League
Habib Bèye,£900Th. ,Premier League
Eric Lichaj,£900Th. ,Premier League
Jean II Makoun,£6.75m ,Premier League
Nigel Reo-Coker,£4.95m ,Premier League
Chris Herd,£45Th. ,Premier League
James Milner,£18.00m ,Premier League
Stiliyan Petrov,£6.75m ,Premier League
Michael Bradley,£4.50m ,Premier League
Fabian Delph,£3.15m ,Premier League
Steve Sidwell,£2.70m ,Premier League
Barry Bannan,£2.70m ,Premier League
Isaiah Osbourne,£450Th. ,Premier League
Jonathan Hogg,£225Th. ,Premier League
Marc Albrighton,£4.50m ,Premier League
Ashley Young,£16.20m ,Premier League
Stewart Downing,£10.80m ,Premier League
Robert Pirès,£675Th. ,Premier League
Stephen Ireland,£8.10m ,Premier League
Moustapha Salifou,£450Th. ,Premier League
Daniel Johnson, ,Premier League
Andreas Weimann,- ,Premier League
Darren Bent,£16.20m ,Premier League
Gabriel Agbonlahor,£13.50m ,Premier League
John Carew,£7.20m ,Premier League
Nathan Delfouneso,£3.15m ,Premier League
Emile Heskey,£2.70m ,Premier League
Tim Howard,£9.00m ,Premier League
Jan Mucha,£2.25m ,Premier League
Iain Turner,£450Th. ,Premier League
Phil Jagielka,£10.80m ,Premier League
Johnny Heitinga,£9.00m ,Premier League
Sylvain Distin,£4.05m ,Premier League
Shkodran Mustafi,£68Th. ,Premier League
Shane Duffy,- ,Premier League
Toto Nsiala, ,Premier League
Leighton Baines,£12.60m ,Premier League
Seamus Coleman,£5.85m ,Premier League
Phil Neville,£3.15m ,Premier League
Tony Hibbert,£2.70m ,Premier League
Jack Rodwell,£12.60m ,Premier League
Marouane Fellaini,£17.10m ,Premier League
Mikel Arteta,£15.30m ,Premier League
Leon Osman,£4.95m ,Premier League
Jose Baxter,- ,Premier League
Ross Barkley, ,Premier League
Adam Forshaw, ,Premier League
Tim Cahill,£14.40m ,Premier League
Diniyar Bilyaletdinov,£7.20m ,Premier League
Steven Pienaar,£9.90m ,Premier League
Conor McAleny, ,Premier League
Yakubu Aiyegbeni,£10.80m ,Premier League
Louis Saha,£4.95m ,Premier League
Jermaine Beckford,£3.15m ,Premier League
Victor Anichebe,£2.25m ,Premier League
James Vaughan,£1.35m ,Premier League
Magaye Gueye,£900Th. ,Premier League
João Silva,£720Th. ,Premier League
Apostolos Vellios,£540Th. ,Premier League
Rob Green,£6.30m ,Premier League
Ruud Boffin,£450Th. ,Premier League
Marek Stech,£225Th. ,Premier League
Jake Larkins, ,Premier League
Matthew Upson,£6.75m ,Premier League
James Tomkins,£3.60m ,Premier League
Tal Ben Haim,£2.70m ,Premier League
Radoslav Kovac,£2.70m ,Premier League
Manuel da Costa,£2.70m ,Premier League
Jonathan Spector,£2.25m ,Premier League
Winston Reid,£1.35m ,Premier League
Danny Gabbidon,£1.35m ,Premier League
Wayne Bridge,£4.50m ,Premier League
Hérita Ilunga,£3.60m ,Premier League
Jordan Brown, ,Premier League
Julien Faubert,£3.60m ,Premier League
Lars Jacobsen,£1.80m ,Premier League
Jordan Spence,- ,Premier League
Valon Behrami,£7.20m ,Premier League
Scott Parker,£11.70m ,Premier League
Mark Noble,£6.75m ,Premier League
Thomas Hitzlsperger,£4.05m ,Premier League
Jack Collison,£3.60m ,Premier League
Gary O'Neil,£2.25m ,Premier League
Kieron Dyer,£2.25m ,Premier League
Luís Boa Morte,£1.35m ,Premier League
Alessandro Diamanti,£3.60m ,Premier League
Junior Stanislas,£2.70m ,Premier League
Anthony Edgar, ,Premier League
Pablo Barrera,£3.15m ,Premier League
Zavon Hines,£1.80m ,Premier League
Victor Obinna,£4.05m ,Premier League
Freddie Sears,£1.80m ,Premier League
Carlton Cole,£6.75m ,Premier League
Demba Ba,£6.30m ,Premier League
Robbie Keane,£6.30m ,Premier League
Frédéric Piquionne,£3.60m ,Premier League
Benni McCarthy,£900Th. ,Premier League
Frank Nouble,£900Th. ,Premier League
Dylan Tombides, ,Premier League
Craig Gordon,£5.85m ,Premier League
Simon Mignolet,£3.60m ,Premier League
Trevor Carson,£225Th. ,Premier League
Michael Turner,£5.40m ,Premier League
Nedum Onuoha,£5.40m ,Premier League
Titus Bramble,£4.05m ,Premier League
Anton Ferdinand,£4.05m ,Premier League
John Mensah,£3.60m ,Premier League
Marcos Angeleri,£2.25m ,Premier League
Nyron Nosworthy,£2.25m ,Premier League
Paulo da Silva,£1.80m ,Premier League
Matthew Kilgallon,£1.35m ,Premier League
Jean-Yves M'voto,£248Th. ,Premier League
Louis Laing, ,Premier League
Kieran Richardson,£4.50m ,Premier League
George McCartney,£2.70m ,Premier League
Blair Adams,£45Th. ,Premier League
Phil Bardsley,£3.60m ,Premier League
Ahmed Elmohamady,£3.60m ,Premier League
Lee Cattermole,£5.40m ,Premier League
Cristian Riveros,£2.70m ,Premier League
Jack Colback,£1.13m ,Premier League
Adam Reed,- ,Premier League
Jordan Henderson,£7.65m ,Premier League
Sulley Muntari,£7.20m ,Premier League
Steed Malbranque,£5.40m ,Premier League
David Meyler,£900Th. ,Premier League
Billy Knott, ,Premier League
Andy Reid,£4.50m ,Premier League
Stéphane Sessègnon,£7.65m ,Premier League
Boudewijn Zenden,£900Th. ,Premier League
Jordan Cook,£45Th. ,Premier League
Darren Bent,£16.20m ,Premier League
Asamoah Gyan,£10.80m ,Premier League
Danny Welbeck,£5.40m ,Premier League
Fraizer Campbell,£3.15m ,Premier League
Martyn Waghorn,£810Th. ,Premier League
Ryan Noble,£45Th. ,Premier League
Craig Lynch, ,Premier League
Mark Schwarzer,£3.15m ,Premier League
David Stockdale,£1.35m ,Premier League
Neil Etheridge,£225Th. ,Premier League
Pascal Zuberbühler,- ,Premier League
Brede Hangeland,£9.00m ,Premier League
Aaron Hughes,£4.95m ,Premier League
Carlos Salcido,£4.05m ,Premier League
Philippe Senderos,£2.70m ,Premier League
Rafik Halliche,£1.35m ,Premier League
Matthew Briggs,£900Th. ,Premier League
Paul Konchesky,£3.60m ,Premier League
John Paintsil,£3.60m ,Premier League
Stephen Kelly,£1.35m ,Premier League
Fredrik Stoor,£675Th. ,Premier League
Chris Baird,£3.15m ,Premier League
Dickson Etuhu,£3.15m ,Premier League
Mousa Dembélé,£6.75m ,Premier League
Zoltán Gera,£3.60m ,Premier League
Steve Sidwell,£2.70m ,Premier League
Danny Murphy,£2.70m ,Premier League
Jonathan Greening,£2.25m ,Premier League
Kagisho Dikgacoi,£900Th. ,Premier League
Damien Duff,£4.05m ,Premier League
Simon Davies,£3.60m ,Premier League
Björn Helge Riise,£900Th. ,Premier League
Gaël Kakuta,£2.70m ,Premier League
Diomansy Kamara,£1.80m ,Premier League
Clint Dempsey,£8.10m ,Premier League
Bobby Zamora,£6.30m ,Premier League
Andy Johnson,£5.40m ,Premier League
Eidur Gudjohnsen,£1.80m ,Premier League
Eddie Johnson,£900Th. ,Premier League
David Elm,£900Th. ,Premier League
Danny Hoesen,£45Th. ,Premier League
Ben Foster,£4.50m ,Premier League
Maik Taylor,£450Th. ,Premier League
Colin Doyle,£225Th. ,Premier League
Roger Johnson,£4.50m ,Premier League
Liam Ridgewell,£4.05m ,Premier League
Scott Dann,£4.05m ,Premier League
Curtis Davies,£4.05m ,Premier League
Martin Jiranek,£1.80m ,Premier League
Alpaslan Öztürk, ,Premier League
Fraser Kerr, ,Premier League
Jean Beausejour,£2.25m ,Premier League
David Murphy,£675Th. ,Premier League
Stephen Carr,£1.35m ,Premier League
Stuart Parnaby,£900Th. ,Premier League
Barry Ferguson,£4.05m ,Premier League
Enric Vallès,£68Th. ,Premier League
Sebastian Larsson,£5.40m ,Premier League
Craig Gardner,£3.60m ,Premier League
Lee Bowyer,£2.25m ,Premier League
Míchel,£2.25m ,Premier League
Keith Fahey,£2.25m ,Premier League
Jordon Mutch,£450Th. ,Premier League
David Bentley,£6.30m ,Premier League
Aleksandr Hleb,£4.50m ,Premier League
Nathan Redmond,£45Th. ,Premier League
James McFadden,£3.60m ,Premier League
Obafemi Martins,£6.30m ,Premier League
Nikola Zigic,£5.40m ,Premier League
Cameron Jerome,£4.95m ,Premier League
Matt Derbyshire,£3.15m ,Premier League
Garry O'Connor,£1.35m ,Premier League
Marcus Bent,£900Th. ,Premier League
Kevin Phillips,£675Th. ,Premier League
Akwasi Asante, ,Premier League
Asmir Begovic,£3.15m ,Premier League
Thomas Sörensen,£2.70m ,Premier League
Carlo Nash,£225Th. ,Premier League
Ryan Shawcross,£7.65m ,Premier League
Robert Huth,£6.30m ,Premier League
Danny Collins,£3.60m ,Premier League
Marc Wilson,£2.70m ,Premier League
Abdoulaye Fayé,£2.25m ,Premier League
Danny Higginbotham,£1.80m ,Premier League
Ibrahima Sonko,£900Th. ,Premier League
Andrew Davies,£675Th. ,Premier League
Ryan Shotton,£45Th. ,Premier League
Danny Pugh,£1.35m ,Premier League
Carl Dickinson,£720Th. ,Premier League
Andy Wilkinson,£2.25m ,Premier League
Glenn Whelan,£3.15m ,Premier League
Diego Arismendi,£900Th. ,Premier League
Salif Diao,£675Th. ,Premier League
Dean Whitehead,£3.60m ,Premier League
Rory Delap,£2.25m ,Premier League
Tom Soares,£675Th. ,Premier League
Michael Tonge,£450Th. ,Premier League
Matthew Lund,£45Th. ,Premier League
Ben Marshall,£45Th. ,Premier League
Matthew Etherington,£5.85m ,Premier League
Tuncay Sanli,£3.60m ,Premier League
Jermaine Pennant,£3.15m ,Premier League
Jonathan Walters,£2.70m ,Premier League
Kenwyne Jones,£8.10m ,Premier League
John Carew,£7.20m ,Premier League
Ricardo Fuller,£2.70m ,Premier League
Eidur Gudjohnsen,£1.80m ,Premier League
Mamady Sidibé,£1.80m ,Premier League
Steve Harper,£1.80m ,Premier League
Fraser Forster,£1.80m ,Premier League
Tim Krul,£1.80m ,Premier League
Ole Söderberg,£45Th. ,Premier League
Fabricio Coloccini,£5.85m ,Premier League
Steven Taylor,£5.40m ,Premier League
Mike Williamson,£2.70m ,Premier League
Sol Campbell,£900Th. ,Premier League
Tamás Kádár,£450Th. ,Premier League
José Enrique,£4.95m ,Premier League
Danny Simpson,£2.25m ,Premier League
Ryan Taylor,£1.35m ,Premier League
James Tavernier, ,Premier League
Cheik Tioté,£4.50m ,Premier League
James Perch,£1.35m ,Premier League
Jonás Gutiérrez,£7.20m ,Premier League
Joey Barton,£4.50m ,Premier League
Danny Guthrie,£3.15m ,Premier League
Alan Smith,£2.70m ,Premier League
Dan Gosling,£2.25m ,Premier League
Michael Richardson, ,Premier League
Shane Ferguson,£45Th. ,Premier League
Stephen Ireland,£8.10m ,Premier League
Kevin Nolan,£7.20m ,Premier League
Hatem Ben Arfa,£6.30m ,Premier League
Wayne Routledge,£2.70m ,Premier League
Kazenga LuaLua,£450Th. ,Premier League
Sammy Ameobi, ,Premier League
Ryan Donaldson,- ,Premier League
Andy Carroll,£18.00m ,Premier League
Shola Ameobi,£3.60m ,Premier League
Peter Lövenkrands,£1.80m ,Premier League
Xisco,£1.35m ,Premier League
Nile Ranger,£1.35m ,Premier League
Leon Best,£900Th. ,Premier League
Shefki Kuqi,£675Th. ,Premier League
Haris Vuckic,£113Th. ,Premier League
Phil Airey, ,Premier League
Paul Robinson,£4.50m ,Premier League
Mark Bunn,£450Th. ,Premier League
Jason Brown,£450Th. ,Premier League
Frank Fielding,£225Th. ,Premier League
Christopher Samba,£6.75m ,Premier League
Gaël Givet,£4.05m ,Premier League
Phil Jones,£3.15m ,Premier League
Ryan Nelsen,£2.70m ,Premier League
Hérold Goulon,£900Th. ,Premier League
Zurab Khizanishvili,£675Th. ,Premier League
Grant Hanley,£450Th. ,Premier League
Martin Olsson,£1.80m ,Premier League
Lars Jacobsen,£1.80m ,Premier League
Pascal Chimbonda,£1.80m ,Premier League
Míchel Salgado,£900Th. ,Premier League
Jermaine Jones,£4.50m ,Premier League
Steven Nzonzi,£3.60m ,Premier League
Jason Lowe,£45Th. ,Premier League
Morten Gamst Pedersen,£6.75m ,Premier League
Vince Grella,£1.80m ,Premier League
Keith Andrews,£1.80m ,Premier League
Amine Linganzi,- ,Premier League
Brett Emerton,£2.70m ,Premier League
Aaron Doran,£68Th. ,Premier League
Alan Judge,£45Th. ,Premier League
Josh Morris,£45Th. ,Premier League
David Dunn,£4.05m ,Premier League
Mauro Formica,£3.15m ,Premier League
Rubén Rochina,£720Th. ,Premier League
Robbie Cotton, ,Premier League
Junior Hoilett,£2.70m ,Premier League
Roque Santa Cruz,£4.50m ,Premier League
Nikola Kalinic,£4.05m ,Premier League
Mame Diouf,£3.60m ,Premier League
Benjani,£3.15m ,Premier League
El-Hadji Diouf,£2.70m ,Premier League
Jason Roberts,£1.80m ,Premier League
Jussi Jääskeläinen,£3.60m ,Premier League
Ali Al Habsi,£1.80m ,Premier League
Ádám Bogdán,£450Th. ,Premier League
Rob Lainton,- ,Premier League
Gary Cahill,£8.55m ,Premier League
Zat Knight,£3.60m ,Premier League
David Wheater,£3.15m ,Premier League
Paul Robinson,£2.25m ,Premier League
Andrew O'Brien,£1.80m ,Premier League
Marcos Alonso,£1.80m ,Premier League
Ricardo Gardner,£1.35m ,Premier League
Grétar Steinsson,£3.60m ,Premier League
Sam Ricketts,£2.25m ,Premier League
Joey O'Brien,£675Th. ,Premier League
Sean Davis,£2.70m ,Premier League
Jlloyd Samuel,£1.35m ,Premier League
Fabrice Muamba,£6.30m ,Premier League
Stuart Holden,£3.60m ,Premier League
Mark Davies,£2.70m ,Premier League
Tamir Cohen,£1.80m ,Premier League
Josh Vela, ,Premier League
Matthew Taylor,£5.85m ,Premier League
Martin Petrov,£4.95m ,Premier League
Tope Obadeyi,£45Th. ,Premier League
Michael O'Halloran, ,Premier League
Chung-yong Lee,£5.40m ,Premier League
Robbie Blake,£675Th. ,Premier League
Johan Elmander,£6.75m ,Premier League
Daniel Sturridge,£4.50m ,Premier League
Rodrigo,£3.60m ,Premier League
Kevin Davies,£2.70m ,Premier League
Ivan Klasnic,£2.25m ,Premier League
Danny Ward,£45Th. ,Premier League
Tom Eaves,£45Th. ,Premier League
Scott Carson,£3.15m ,Premier League
Boaz Myhill,£1.80m ,Premier League
Dean Kiely,£225Th. ,Premier League
Luke Daniels,£113Th. ,Premier League
Paul Scharner,£4.05m ,Premier League
Gianni Zuiverloon,£3.60m ,Premier League
Gabriel Tamas,£3.60m ,Premier League
Gonzalo Jara,£2.70m ,Premier League
Leon Barnett,£2.25m ,Premier League
Jonas Olsson,£2.25m ,Premier League
Pablo Ibáñez,£2.25m ,Premier League
Abdoulaye Méïté,£1.80m ,Premier League
Craig Dawson,£180Th. ,Premier League
Paul Downing,£45Th. ,Premier League
Nicky Shorey,£2.70m ,Premier League
Marek Cech,£1.80m ,Premier League
Joe Mattock,£900Th. ,Premier League
Steven Reid,£2.25m ,Premier League
James Hurst, ,Premier League
Youssouf Mulumbu,£3.15m ,Premier League
George Thorne,- ,Premier League
Chris Brunt,£5.85m ,Premier League
James Morrison,£3.15m ,Premier League
Graham Dorrans,£2.70m ,Premier League
Sam Mantom,- ,Premier League
Somen Tchoyi,£3.15m ,Premier League
Jerome Thomas,£2.25m ,Premier League
Peter Odemwingie,£5.85m ,Premier League
Carlos Vela,£4.50m ,Premier League
Marc-Antoine Fortuné,£3.15m ,Premier League
Ishmael Miller,£2.70m ,Premier League
Luke Moore,£1.35m ,Premier League
Roman Bednár,£1.35m ,Premier League
Giles Barnes,£1.35m ,Premier League
Simon Cox,£1.35m ,Premier League
Chris Wood,£675Th. ,Premier League
Saido Berahino, ,Premier League
Wayne Hennessey,£1.80m ,Premier League
Marcus Hahnemann,£900Th. ,Premier League
Carl Ikeme,£675Th. ,Premier League
Adriano Basso,£45Th. ,Premier League
Christophe Berra,£4.05m ,Premier League
Jelle Van Damme,£3.60m ,Premier League
Michael Mancienne,£3.15m ,Premier League
Richard Stearman,£2.70m ,Premier League
George Elokobi,£2.25m ,Premier League
Ronald Zubar,£2.25m ,Premier League
Greg Halford,£1.80m ,Premier League
Jody Craddock,£1.35m ,Premier League
Steven Mouyokolo,£1.35m ,Premier League
Danny Batth,£90Th. ,Premier League
Ethan Ebanks-Landell, ,Premier League
John Dunleavy, ,Premier League
Stephen Ward,£2.25m ,Premier League
Scott Malone,£90Th. ,Premier League
Kevin Foley,£2.70m ,Premier League
Matt Doherty, ,Premier League
David Jones,£2.25m ,Premier League
Karl Henry,£3.15m ,Premier League
Jamie O'Hara,£4.05m ,Premier League
Nenad Milijas,£3.60m ,Premier League
David Edwards,£2.25m ,Premier League
Adlène Guédioura,£1.35m ,Premier League
David Davis,£45Th. ,Premier League
Nathan Rooney, ,Premier League
Stephen Hunt,£4.05m ,Premier League
Michael Kightly,£1.80m ,Premier League
Ashley Hemmings,£45Th. ,Premier League
Matt Jarvis,£4.50m ,Premier League
Adam Hammill,£900Th. ,Premier League
Geoffrey Bia,£900Th. ,Premier League
Kevin Doyle,£4.95m ,Premier League
Steven Fletcher,£4.05m ,Premier League
Sylvan Ebanks-Blake,£2.70m ,Premier League
Andy Keogh,£1.35m ,Premier League
Marcus Bent,£900Th. ,Premier League
Sam Vokes,£675Th. ,Premier League
Leigh Griffiths,£675Th. ,Premier League
Sam Winnall, ,Premier League
Chris Kirkland,£3.60m ,Premier League
Ali Al Habsi,£1.80m ,Premier League
Mike Pollitt,£225Th. ,Premier League
Lee Nicholls,£45Th. ,Premier League
Maynor Figueroa,£4.95m ,Premier League
Antolín Alcaraz,£3.60m ,Premier League
Gary Caldwell,£3.15m ,Premier League
Steven Caldwell,£1.80m ,Premier League
Steve Gohouri,£1.35m ,Premier League
Adrián López,£450Th. ,Premier League
Jordan Robinson, ,Premier League
Román Golobart, ,Premier League
Jordan Mustoe, ,Premier League
Ronnie Stam,£3.60m ,Premier League
Emmerson Boyce,£2.25m ,Premier League
Adam Buxton, ,Premier League
Hendry Thomas,£2.70m ,Premier League
Mohamed Diamé,£3.15m ,Premier League
James McCarthy,£2.70m ,Premier League
