name,Market Value,age,height,position,foot,current club,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes,current league
Tomas Kalas,£4.50m ,27.0,184.0,Defender - Centre-Back,right,Bristol City,38.0,1.0,2.0,3393.0,40.0,1.0,2.0,3447.0,6.0,0.0,0.0,315.0,19.0,0.0,1.0,1647.0,30.0,0.0,1.0,2207.0,40.0,1.0,3.0,3511.0,36.0,0.0,0.0,2614.0,41.0,0.0,0.0,3610.0,24.0,0.0,0.0,2086.0,3.0,1.0,0.0,108.0,Premier League
Ethan Ampadu,£4.50m ,20.0,182.0,Defender - Centre-Back,right,Sheffield United,,,,,,,,,,,,,,,,,,,,,13.0,0.0,1.0,937.0,26.0,2.0,0.0,2042.0,12.0,0.0,0.0,823.0,7.0,0.0,0.0,277.0,3.0,0.0,0.0,239.0,Premier League
Michael Hector,£2.70m ,28.0,193.0,Defender - Centre-Back,right,Fulham FC,31.0,2.0,0.0,2720.0,41.0,2.0,1.0,3650.0,33.0,2.0,4.0,2352.0,49.0,3.0,2.0,4367.0,35.0,2.0,0.0,2833.0,27.0,1.0,0.0,1845.0,38.0,1.0,0.0,3118.0,39.0,2.0,0.0,3422.0,27.0,0.0,3.0,2460.0,5.0,0.0,0.0,418.0,Premier League
Fikayo Tomori,£900Th. ,22.0,184.0,Defender - Centre-Back,right,Chelsea FC,,,,,,,,,0.0,0.0,0.0,0.0,19.0,0.0,1.0,1504.0,30.0,6.0,0.0,2521.0,24.0,1.0,0.0,1699.0,26.0,0.0,2.0,2152.0,55.0,2.0,1.0,4811.0,22.0,2.0,1.0,1868.0,3.0,0.0,0.0,224.0,Premier League
Jake Clarke-Salter,£900Th. ,23.0,188.0,Defender - Centre-Back,left,Birmingham City,,,,,,,,,4.0,0.0,0.0,265.0,25.0,0.0,0.0,1898.0,28.0,2.0,2.0,2433.0,16.0,1.0,1.0,1119.0,17.0,0.0,0.0,1122.0,37.0,1.0,2.0,2971.0,23.0,1.0,1.0,1983.0,,,,,Premier League
Marcos Alonso,£36.00m ,29.0,188.0,Defender - Left-Back,left,Chelsea FC,11.0,1.0,0.0,805.0,32.0,4.0,2.0,2797.0,29.0,0.0,2.0,2376.0,35.0,2.0,3.0,2672.0,39.0,3.0,4.0,2939.0,37.0,6.0,3.0,3264.0,46.0,8.0,4.0,4017.0,39.0,4.0,7.0,3486.0,29.0,4.0,4.0,2344.0,3.0,0.0,0.0,225.0,Premier League
Emerson,£18.00m ,26.0,181.0,Defender - Left-Back,left,Chelsea FC,1.0,0.0,0.0,63.0,14.0,1.0,2.0,862.0,3.0,0.0,1.0,225.0,10.0,0.0,0.0,273.0,9.0,1.0,0.0,261.0,36.0,1.0,1.0,2595.0,10.0,0.0,2.0,655.0,27.0,1.0,2.0,2250.0,21.0,0.0,1.0,1523.0,2.0,0.0,0.0,114.0,Premier League
César Azpilicueta,£36.00m ,31.0,178.0,Defender - Right-Back,right,Chelsea FC,44.0,1.0,4.0,3821.0,51.0,0.0,6.0,4113.0,44.0,1.0,4.0,3575.0,40.0,0.0,4.0,3367.0,49.0,2.0,5.0,4260.0,47.0,2.0,7.0,4098.0,52.0,3.0,7.0,4755.0,57.0,1.0,9.0,4867.0,49.0,4.0,7.0,4312.0,6.0,0.0,1.0,409.0,Premier League
Davide Zappacosta,£18.00m ,28.0,182.0,Defender - Right-Back,right,Genoa CFC,27.0,0.0,0.0,1756.0,27.0,1.0,0.0,2171.0,36.0,2.0,2.0,3153.0,30.0,3.0,1.0,2350.0,26.0,1.0,1.0,1351.0,29.0,1.0,4.0,2333.0,38.0,2.0,2.0,2305.0,17.0,0.0,2.0,1020.0,9.0,0.0,1.0,446.0,2.0,1.0,0.0,166.0,Premier League
Ola Aina,£1.35m ,24.0,184.0,Defender - Right-Back,right,Fulham FC,,,,,3.0,0.0,0.0,252.0,16.0,0.0,0.0,994.0,37.0,1.0,1.0,3085.0,25.0,1.0,2.0,2209.0,10.0,0.0,0.0,590.0,46.0,1.0,3.0,4003.0,32.0,1.0,3.0,2265.0,37.0,0.0,3.0,2347.0,3.0,0.0,0.0,249.0,Premier League
Todd Kane,£1.13m ,27.0,180.0,Defender - Right-Back,right,Queens Park Rangers,19.0,2.0,2.0,1710.0,31.0,1.0,1.0,2611.0,28.0,2.0,2.0,2236.0,20.0,1.0,0.0,1368.0,34.0,1.0,2.0,2889.0,3.0,0.0,0.0,149.0,29.0,3.0,2.0,2139.0,41.0,3.0,1.0,3362.0,36.0,1.0,2.0,2368.0,0.0,0.0,0.0,0.0,Premier League
Wallace Oliveira,£900Th. ,26.0,175.0,Defender - Right-Back,right,Figueirense Futebol Clube,18.0,1.0,0.0,1120.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,130.0,27.0,1.0,3.0,1772.0,19.0,0.0,0.0,1246.0,,,,,,,,,,,,,,,,,,,,,Premier League
Dujon Sterling, ,20.0,186.0,Defender - Right-Back,right,Chelsea FC U23,,,,,,,,,,,,,1.0,0.0,0.0,26.0,11.0,2.0,1.0,765.0,32.0,5.0,6.0,2619.0,34.0,6.0,2.0,2764.0,40.0,0.0,5.0,3457.0,10.0,0.0,1.0,749.0,,,,,Premier League
Tiemoué Bakayoko,£36.00m ,26.0,189.0,Midfielder - Defensive Midfield,right,SSC Napoli,,,,,,,,,28.0,1.0,0.0,2000.0,18.0,0.0,0.0,1279.0,23.0,2.0,0.0,1682.0,51.0,3.0,1.0,3907.0,43.0,3.0,3.0,3070.0,42.0,1.0,1.0,3274.0,23.0,1.0,2.0,1899.0,1.0,0.0,0.0,75.0,Premier League
Trevoh Chalobah, ,21.0,190.0,Midfielder - Defensive Midfield,right,FC Lorient,,,,,,,,,,,,,,,,,14.0,0.0,1.0,1056.0,31.0,4.0,1.0,2747.0,27.0,0.0,2.0,2458.0,44.0,2.0,1.0,3365.0,38.0,1.0,1.0,2917.0,2.0,0.0,0.0,84.0,Premier League
N'Golo Kanté,£54.00m ,29.0,168.0,Midfielder - Central Midfield,right,Chelsea FC,1.0,0.0,0.0,11.0,38.0,3.0,0.0,3151.0,42.0,3.0,4.0,3542.0,39.0,3.0,5.0,3362.0,40.0,1.0,4.0,3193.0,41.0,2.0,1.0,3556.0,48.0,1.0,2.0,4207.0,53.0,5.0,4.0,4185.0,28.0,3.0,0.0,2303.0,6.0,0.0,0.0,463.0,Premier League
Cesc Fàbregas,£27.00m ,33.0,179.0,Midfielder - Central Midfield,right,AS Monaco,48.0,15.0,20.0,3327.0,48.0,14.0,13.0,3253.0,55.0,13.0,17.0,3767.0,47.0,5.0,24.0,3923.0,49.0,6.0,9.0,3951.0,38.0,7.0,15.0,1952.0,49.0,3.0,9.0,3687.0,31.0,2.0,2.0,2083.0,22.0,0.0,3.0,1097.0,5.0,0.0,0.0,330.0,Premier League
Ross Barkley,£22.50m ,26.0,185.0,Midfielder - Central Midfield,right,Aston Villa,23.0,3.0,5.0,1644.0,37.0,7.0,1.0,2658.0,38.0,7.0,3.0,2617.0,36.0,2.0,3.0,2481.0,48.0,12.0,11.0,3914.0,39.0,6.0,9.0,3150.0,5.0,0.0,0.0,271.0,48.0,5.0,6.0,2725.0,31.0,5.0,5.0,1700.0,5.0,3.0,0.0,310.0,Premier League
Danny Drinkwater,£18.00m ,30.0,177.0,Midfielder - Central Midfield,right,Chelsea FC,38.0,3.0,8.0,2709.0,46.0,1.0,5.0,3681.0,49.0,8.0,5.0,4173.0,26.0,1.0,1.0,1757.0,37.0,3.0,8.0,3139.0,43.0,1.0,3.0,3772.0,22.0,1.0,0.0,1151.0,1.0,0.0,0.0,30.0,6.0,0.0,0.0,412.0,,,,,Premier League
Ruben Loftus-Cheek,£13.50m ,24.0,191.0,Midfielder - Central Midfield,right,Fulham FC,1.0,0.0,0.0,31.0,12.0,0.0,0.0,741.0,28.0,1.0,2.0,1655.0,23.0,1.0,3.0,1737.0,18.0,3.0,3.0,807.0,11.0,0.0,2.0,343.0,25.0,2.0,5.0,1965.0,40.0,10.0,5.0,1955.0,10.0,0.0,2.0,317.0,2.0,0.0,0.0,142.0,Premier League
Marco van Ginkel,£10.80m ,27.0,186.0,Midfielder - Central Midfield,right,PSV Eindhoven,38.0,6.0,3.0,3262.0,41.0,12.0,12.0,3553.0,8.0,0.0,1.0,361.0,18.0,1.0,3.0,1320.0,37.0,8.0,1.0,2521.0,19.0,8.0,4.0,1619.0,33.0,16.0,5.0,2808.0,,,,,,,,,,,,,Premier League
Lewis Baker,£4.95m ,25.0,182.0,Midfielder - Central Midfield,both,Trabzonspor,6.0,1.0,0.0,315.0,19.0,6.0,6.0,1688.0,31.0,17.0,8.0,2695.0,20.0,3.0,4.0,1278.0,36.0,6.0,4.0,2488.0,39.0,15.0,7.0,3430.0,15.0,2.0,0.0,847.0,33.0,1.0,2.0,1969.0,9.0,0.0,0.0,651.0,4.0,0.0,1.0,360.0,Premier League
Kyle Scott, ,22.0,172.0,Midfielder - Central Midfield,right,Newcastle United U23,,,,,,,,,1.0,0.0,0.0,14.0,9.0,0.0,0.0,455.0,24.0,3.0,2.0,1598.0,17.0,1.0,2.0,1445.0,12.0,1.0,4.0,885.0,14.0,2.0,0.0,997.0,13.0,0.0,0.0,790.0,,,,,Premier League
Victor Moses,£18.00m ,29.0,177.0,Midfielder - Right Midfield,right,Spartak Moscow,39.0,6.0,6.0,3229.0,44.0,10.0,5.0,2480.0,22.0,2.0,0.0,853.0,23.0,4.0,6.0,1666.0,27.0,2.0,2.0,1333.0,40.0,4.0,4.0,3045.0,38.0,4.0,4.0,3038.0,22.0,4.0,1.0,1250.0,27.0,1.0,6.0,1243.0,1.0,0.0,0.0,35.0,Premier League
Charly Musonda Jr.,£4.50m ,24.0,173.0,Midfielder - Attacking Midfield,right,Chelsea FC,,,,,2.0,0.0,0.0,35.0,13.0,2.0,1.0,617.0,33.0,7.0,3.0,2281.0,26.0,2.0,5.0,2110.0,11.0,1.0,1.0,523.0,20.0,4.0,5.0,1059.0,4.0,2.0,0.0,268.0,3.0,0.0,0.0,65.0,,,,,Premier League
Eden Hazard,£99.00m ,29.0,175.0,Forward - Left Winger,both,Real Madrid,49.0,22.0,22.0,4193.0,62.0,13.0,24.0,4523.0,49.0,17.0,10.0,3943.0,52.0,19.0,13.0,4441.0,43.0,6.0,8.0,3079.0,43.0,17.0,7.0,3373.0,52.0,17.0,13.0,3804.0,52.0,21.0,17.0,3878.0,22.0,1.0,7.0,1545.0,,,,,Premier League
Kenedy,£9.00m ,24.0,182.0,Forward - Left Winger,left,Granada CF,,,,,9.0,0.0,2.0,347.0,21.0,2.0,3.0,550.0,1.0,0.0,0.0,90.0,20.0,2.0,1.0,877.0,3.0,0.0,0.0,109.0,19.0,3.0,5.0,1555.0,28.0,1.0,1.0,1613.0,27.0,3.0,5.0,946.0,8.0,1.0,2.0,386.0,Premier League
Lucas Piazón,£2.25m ,26.0,182.0,Forward - Left Winger,right,Rio Ave FC,12.0,4.0,2.0,1034.0,22.0,2.0,5.0,1097.0,36.0,12.0,9.0,2694.0,23.0,2.0,2.0,1143.0,27.0,5.0,3.0,1537.0,33.0,6.0,4.0,1961.0,25.0,6.0,5.0,1364.0,6.0,0.0,0.0,260.0,24.0,4.0,2.0,1599.0,6.0,0.0,1.0,423.0,Premier League
Jérémie Boga,£2.25m ,23.0,174.0,Forward - Left Winger,right,US Sassuolo,1.0,0.0,0.0,90.0,13.0,5.0,1.0,830.0,17.0,2.0,4.0,1210.0,29.0,7.0,3.0,1724.0,31.0,3.0,1.0,1209.0,27.0,2.0,1.0,1481.0,35.0,2.0,3.0,2238.0,27.0,3.0,1.0,1474.0,35.0,11.0,4.0,2608.0,0.0,0.0,0.0,0.0,Premier League
Callum Hudson-Odoi, ,19.0,177.0,Forward - Left Winger,right,Chelsea FC,,,,,,,,,,,,,,,,,,,,,24.0,8.0,9.0,1823.0,34.0,21.0,6.0,2608.0,29.0,6.0,7.0,1617.0,35.0,4.0,7.0,1609.0,5.0,1.0,0.0,317.0,Premier League
Willian,£28.80m ,32.0,175.0,Forward - Right Winger,right,Arsenal FC,37.0,6.0,17.0,2898.0,35.0,8.0,15.0,2660.0,46.0,4.0,10.0,3368.0,49.0,4.0,5.0,3258.0,49.0,11.0,10.0,3881.0,41.0,12.0,5.0,2026.0,55.0,13.0,12.0,3053.0,56.0,8.0,14.0,3533.0,47.0,11.0,9.0,3365.0,6.0,0.0,2.0,385.0,Premier League
Pedro,£22.50m ,33.0,167.0,Forward - Right Winger,both,AS Roma,48.0,13.0,6.0,2774.0,45.0,10.0,11.0,3415.0,54.0,19.0,13.0,3320.0,50.0,11.0,9.0,2199.0,43.0,9.0,3.0,2781.0,43.0,13.0,12.0,2723.0,48.0,7.0,5.0,2509.0,52.0,13.0,5.0,3099.0,23.0,2.0,3.0,1273.0,4.0,2.0,1.0,341.0,Premier League
Álvaro Morata,£58.50m ,27.0,187.0,Forward - Centre-Forward,right,Juventus FC,38.0,17.0,5.0,2746.0,33.0,14.0,8.0,2196.0,34.0,9.0,1.0,969.0,46.0,15.0,7.0,2302.0,47.0,12.0,11.0,2377.0,43.0,20.0,6.0,1903.0,48.0,15.0,6.0,2794.0,41.0,15.0,1.0,2709.0,44.0,16.0,4.0,2801.0,2.0,1.0,0.0,148.0,Premier League
Michy Batshuayi,£36.00m ,27.0,184.0,Forward - Centre-Forward,right,Crystal Palace,33.0,9.0,0.0,1478.0,36.0,12.0,5.0,2308.0,49.0,23.0,8.0,3764.0,28.0,10.0,0.0,1107.0,50.0,23.0,10.0,4150.0,29.0,11.0,3.0,792.0,40.0,21.0,3.0,2329.0,36.0,9.0,0.0,1963.0,25.0,8.0,3.0,746.0,4.0,0.0,0.0,197.0,Premier League
Olivier Giroud,£16.20m ,34.0,193.0,Forward - Centre-Forward,left,Chelsea FC,42.0,25.0,12.0,3698.0,47.0,17.0,12.0,3201.0,51.0,22.0,12.0,4092.0,36.0,19.0,4.0,2379.0,53.0,24.0,6.0,3373.0,40.0,16.0,7.0,1780.0,44.0,12.0,3.0,2187.0,45.0,13.0,10.0,2186.0,25.0,10.0,1.0,1408.0,3.0,1.0,0.0,111.0,Premier League
Tammy Abraham,£9.00m ,23.0,191.0,Forward - Centre-Forward,right,Chelsea FC,,,,,,,,,,,,,24.0,15.0,2.0,1303.0,34.0,20.0,6.0,2798.0,48.0,26.0,4.0,3743.0,39.0,8.0,5.0,2240.0,42.0,26.0,3.0,3561.0,47.0,18.0,6.0,2960.0,6.0,2.0,3.0,277.0,Premier League
David de Gea,£63.00m ,29.0,192.0,Goalkeeper,right,Manchester United,39.0,47.0,15.0,3510.0,41.0,42.0,12.0,3690.0,52.0,55.0,20.0,4710.0,43.0,43.0,14.0,3854.0,49.0,48.0,19.0,4470.0,45.0,40.0,16.0,4080.0,46.0,35.0,22.0,4140.0,47.0,63.0,10.0,4230.0,43.0,44.0,15.0,3930.0,4.0,12.0,0.0,360.0,Premier League
Sergio Romero,£4.50m ,33.0,192.0,Goalkeeper,right,Manchester United,30.0,26.0,14.0,2642.0,33.0,40.0,10.0,2944.0,9.0,7.0,5.0,827.0,11.0,14.0,1.0,968.0,13.0,8.0,8.0,1230.0,18.0,6.0,12.0,1640.0,10.0,4.0,7.0,888.0,7.0,6.0,3.0,607.0,17.0,5.0,12.0,1590.0,,,,,Premier League
Sam Johnstone,£2.25m ,27.0,193.0,Goalkeeper,right,West Bromwich Albion,23.0,29.0,6.0,2100.0,17.0,19.0,6.0,1530.0,24.0,61.0,12.0,2160.0,39.0,55.0,30.0,3510.0,11.0,13.0,2.0,990.0,27.0,30.0,10.0,2430.0,48.0,42.0,22.0,4320.0,48.0,64.0,10.0,4350.0,46.0,45.0,14.0,4140.0,5.0,13.0,1.0,450.0,Premier League
Joel Pereira,£900Th. ,24.0,189.0,Goalkeeper,right,Huddersfield Town,4.0,1.0,0.0,360.0,0.0,0.0,0.0,0.0,6.0,7.0,2.0,540.0,7.0,7.0,2.0,630.0,20.0,19.0,5.0,1800.0,16.0,17.0,7.0,1360.0,3.0,5.0,0.0,192.0,15.0,20.0,4.0,1329.0,25.0,43.0,5.0,2280.0,0.0,0.0,0.0,0.0,Premier League
Eric Bailly,£31.50m ,26.0,187.0,Defender - Centre-Back,right,Manchester United,,,,,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1533.0,18.0,0.0,0.0,1465.0,35.0,1.0,1.0,2909.0,39.0,0.0,0.0,3289.0,18.0,1.0,0.0,1359.0,18.0,0.0,0.0,1123.0,12.0,0.0,0.0,780.0,4.0,0.0,0.0,277.0,Premier League
Victor Lindelöf,£22.50m ,26.0,187.0,Defender - Centre-Back,right,Manchester United,13.0,0.0,0.0,1170.0,15.0,0.0,1.0,1093.0,35.0,2.0,2.0,2911.0,42.0,1.0,1.0,3594.0,30.0,1.0,0.0,2605.0,47.0,1.0,0.0,4090.0,29.0,0.0,0.0,2361.0,40.0,1.0,1.0,3502.0,47.0,1.0,1.0,4108.0,4.0,0.0,0.0,360.0,Premier League
Phil Jones,£18.00m ,28.0,185.0,Defender - Centre-Back,right,Manchester United,42.0,2.0,4.0,3076.0,24.0,0.0,2.0,1788.0,39.0,3.0,2.0,3099.0,25.0,0.0,2.0,2074.0,18.0,0.0,0.0,1045.0,26.0,0.0,0.0,2222.0,25.0,0.0,0.0,2152.0,24.0,0.0,1.0,1713.0,8.0,1.0,0.0,562.0,,,,,Premier League
Marcos Rojo,£16.20m ,30.0,187.0,Defender - Centre-Back,left,Manchester United,2.0,0.0,0.0,165.0,33.0,1.0,1.0,2934.0,28.0,6.0,0.0,2354.0,26.0,1.0,0.0,2097.0,28.0,0.0,2.0,2101.0,41.0,1.0,1.0,3143.0,12.0,0.0,1.0,910.0,8.0,0.0,0.0,355.0,10.0,0.0,1.0,738.0,,,,,Premier League
Chris Smalling,£16.20m ,30.0,194.0,Defender - Centre-Back,right,AS Roma,31.0,3.0,0.0,2223.0,23.0,0.0,0.0,1724.0,38.0,2.0,0.0,3001.0,29.0,4.0,0.0,2238.0,55.0,2.0,0.0,4975.0,36.0,2.0,2.0,2609.0,46.0,4.0,0.0,3975.0,34.0,1.0,0.0,3028.0,37.0,3.0,2.0,3196.0,,,,,Premier League
Daley Blind,£16.20m ,30.0,180.0,Defender - Centre-Back,left,Ajax Amsterdam,31.0,0.0,1.0,2260.0,46.0,2.0,2.0,3995.0,45.0,1.0,1.0,3920.0,32.0,2.0,4.0,2726.0,56.0,2.0,3.0,5002.0,39.0,1.0,2.0,3203.0,17.0,1.0,2.0,1231.0,57.0,6.0,5.0,4919.0,34.0,1.0,1.0,2899.0,5.0,0.0,0.0,417.0,Premier League
Axel Tuanzebe,£900Th. ,22.0,186.0,Defender - Centre-Back,right,Manchester United,,,,,,,,,,,,,3.0,0.0,0.0,101.0,13.0,1.0,0.0,1109.0,25.0,1.0,0.0,2127.0,10.0,0.0,0.0,588.0,30.0,0.0,1.0,2574.0,11.0,0.0,0.0,701.0,,,,,Premier League
Luke Shaw,£13.50m ,25.0,185.0,Defender - Left-Back,left,Manchester United,1.0,0.0,0.0,13.0,31.0,0.0,1.0,2424.0,38.0,0.0,2.0,3262.0,21.0,0.0,1.0,1356.0,8.0,0.0,1.0,654.0,19.0,0.0,2.0,1374.0,23.0,0.0,0.0,1658.0,40.0,1.0,5.0,3582.0,33.0,1.0,3.0,2526.0,4.0,0.0,0.0,360.0,Premier League
Cameron Borthwick-Jackson,£2.70m ,23.0,189.0,Defender - Left-Back,left,Oldham Athletic,,,,,,,,,1.0,0.0,0.0,4.0,1.0,0.0,0.0,90.0,26.0,0.0,1.0,2044.0,15.0,0.0,0.0,1339.0,13.0,0.0,2.0,1010.0,33.0,2.0,0.0,2712.0,12.0,0.0,2.0,969.0,5.0,0.0,0.0,360.0,Premier League
Matteo Darmian,£9.00m ,30.0,183.0,Defender - Right-Back,right,Inter Milan,34.0,1.0,2.0,2871.0,32.0,0.0,2.0,2870.0,38.0,0.0,3.0,3375.0,47.0,5.0,4.0,3821.0,39.0,1.0,1.0,2710.0,29.0,0.0,1.0,2322.0,17.0,0.0,2.0,1105.0,7.0,0.0,0.0,533.0,34.0,1.0,1.0,2685.0,3.0,0.0,0.0,207.0,Premier League
Antonio Valencia,£7.20m ,35.0,180.0,Defender - Right-Back,right,Without Club,38.0,6.0,16.0,3010.0,40.0,1.0,8.0,2763.0,44.0,4.0,6.0,3029.0,35.0,0.0,3.0,2852.0,23.0,0.0,4.0,1342.0,43.0,1.0,6.0,3773.0,39.0,3.0,1.0,3422.0,34.0,1.0,3.0,2929.0,7.0,0.0,0.0,630.0,,,,,Premier League
Timothy Fosu-Mensah,£6.30m ,22.0,190.0,Defender - Right-Back,right,Manchester United,,,,,,,,,,,,,1.0,0.0,0.0,90.0,29.0,1.0,3.0,1947.0,11.0,0.0,0.0,323.0,24.0,0.0,0.0,1818.0,13.0,0.0,0.0,884.0,8.0,0.0,0.0,441.0,1.0,0.0,0.0,81.0,Premier League
Nemanja Matic,£36.00m ,32.0,194.0,Midfielder - Defensive Midfield,left,Manchester United,30.0,1.0,0.0,1539.0,46.0,5.0,1.0,3988.0,41.0,3.0,4.0,3512.0,49.0,3.0,4.0,4148.0,43.0,2.0,3.0,3083.0,40.0,2.0,8.0,3147.0,49.0,2.0,3.0,4156.0,38.0,1.0,0.0,3337.0,34.0,1.0,3.0,2560.0,4.0,0.0,0.0,225.0,Premier League
Michael Carrick,£900Th. ,39.0,189.0,Midfielder - Defensive Midfield,both,Retired,41.0,2.0,4.0,3362.0,46.0,2.0,6.0,3764.0,40.0,1.0,0.0,3332.0,21.0,1.0,2.0,1655.0,42.0,0.0,1.0,3039.0,38.0,1.0,1.0,2696.0,5.0,0.0,0.0,379.0,,,,,,,,,,,,,Premier League
Paul Pogba,£81.00m ,27.0,191.0,Midfielder - Central Midfield,both,Manchester United,23.0,3.0,6.0,1559.0,37.0,5.0,0.0,2282.0,51.0,9.0,16.0,4192.0,41.0,10.0,11.0,3340.0,49.0,10.0,13.0,4284.0,51.0,9.0,6.0,4350.0,37.0,6.0,12.0,2879.0,47.0,16.0,11.0,4012.0,22.0,1.0,4.0,1608.0,5.0,1.0,0.0,264.0,Premier League
