name,Market Value,current league
Ahmed Elmohamady,£3.60m ,Premier League
Brian Lenihan,£90Th. ,Premier League
Josh Clackstone, ,Premier League
Harvey Rodgers, ,Premier League
Ben Hinchliffe, ,Premier League
Jake Livermore,£6.30m ,Premier League
Alfred N'Diaye,£4.50m ,Premier League
Tom Huddlestone,£4.50m ,Premier League
Ryan Mason,£7.65m ,Premier League
Markus Henriksen,£4.50m ,Premier League
Sam Clucas,£2.25m ,Premier League
David Meyler,£1.80m ,Premier League
Daniel Batty, ,Premier League
James Weir,£450Th. ,Premier League
Evandro,£1.80m ,Premier League
Shaun Maloney,£900Th. ,Premier League
Greg Olley, ,Premier League
Johan Ter Horst, ,Premier League
Kamil Grosicki,£6.30m ,Premier League
Lazar Markovic,£9.00m ,Premier League
Robert Snodgrass,£7.20m ,Premier League
Jarrod Bowen,£225Th. ,Premier League
Oumar Niasse,£8.10m ,Premier League
Abel Hernández,£7.20m ,Premier League
Dieumerci Mbokani,£4.50m ,Premier League
Will Keane,£1.35m ,Premier League
Adama Diomande,£1.35m ,Premier League
Greg Luer,£225Th. ,Premier League
Víctor Valdés,£1.80m ,Premier League
Brad Guzan,£900Th. ,Premier League
Tomás Mejías,£270Th. ,Premier League
Connor Ripley,£225Th. ,Premier League
Dimitrios Konstantopoulos,£225Th. ,Premier League
Calum Chambers,£12.60m ,Premier League
Ben Gibson,£7.20m ,Premier League
Bernardo Espinosa,£2.25m ,Premier League
Daniel Ayala,£1.80m ,Premier League
Alex Baptiste,£900Th. ,Premier League
Dael Fry,£225Th. ,Premier League
George Friend,£1.35m ,Premier League
James Husband,£450Th. ,Premier League
Antonio Barragán,£2.70m ,Premier League
Fábio,£1.80m ,Premier League
Emilio Nsue,£1.58m ,Premier League
Marten de Roon,£9.00m ,Premier League
Julien de Sart,£1.80m ,Premier League
Adam Clayton,£2.70m ,Premier League
Adam Forshaw,£2.70m ,Premier League
Adlène Guédioura,£900Th. ,Premier League
Adam Reach,£4.05m ,Premier League
Stewart Downing,£3.15m ,Premier League
GastÃ³n RamÃ­rez,£5.40m ,Premier League
Viktor Fischer,£4.50m ,Premier League
Carlos de Pena,£1.80m ,Premier League
Adama Traoré,£7.20m ,Premier League
Albert Adomah,£2.25m ,Premier League
Jordan Rhodes,£9.00m ,Premier League
Álvaro Negredo,£6.75m ,Premier League
Rudy Gestede,£6.30m ,Premier League
Patrick Bamford,£4.50m ,Premier League
Cristhian Stuani,£3.15m ,Premier League
David Nugent,£2.70m ,Premier League
Ben Foster,£3.60m ,Premier League
Boaz Myhill,£1.35m ,Premier League
Jack Rose,£90Th. ,Premier League
Alex Palmer, ,Premier League
Jonny Evans,£6.30m ,Premier League
Craig Dawson,£5.40m ,Premier League
Marc Wilson,£2.25m ,Premier League
Jonas Olsson,£990Th. ,Premier League
Gareth McAuley,£900Th. ,Premier League
Brendan Galloway,£2.70m ,Premier League
Sébastien Pocognoli,£675Th. ,Premier League
Allan Nyom,£4.05m ,Premier League
Kane Wilson, ,Premier League
Jake Livermore,£6.30m ,Premier League
Claudio Yacob,£3.60m ,Premier League
James Morrison,£4.50m ,Premier League
Chris Brunt,£3.60m ,Premier League
Craig Gardner,£3.15m ,Premier League
Darren Fletcher,£1.80m ,Premier League
Sam Field,£225Th. ,Premier League
Rekeem Harper, ,Premier League
James McClean,£2.70m ,Premier League
Nacer Chadli,£13.50m ,Premier League
Matt Phillips,£8.10m ,Premier League
Callum McManaman,£3.15m ,Premier League
Jonathan Leko,£1.35m ,Premier League
Saido Berahino,£13.50m ,Premier League
Salomón Rondón,£13.50m ,Premier League
Hal Robson-Kanu,£2.25m ,Premier League
Rickie Lambert,£1.35m ,Premier League
Jordan Pickford,£13.50m ,Premier League
Vito Mannone,£2.25m ,Premier League
Mika,£1.80m ,Premier League
Max Stryjek, ,Premier League
Lamine KonÃ©,£6.30m ,Premier League
Papy Djilobodji,£4.50m ,Premier League
Jason Denayer,£3.60m ,Premier League
Jan Kirchhoff,£2.70m ,Premier League
Younès Kaboul,£2.25m ,Premier League
Joleon Lescott,£900Th. ,Premier League
John O'Shea,£900Th. ,Premier League
Michael Ledger, ,Premier League
Patrick van Aanholt,£8.10m ,Premier League
Bryan Oviedo,£2.25m ,Premier League
Tommy Robson, ,Premier League
Javier Manquillo,£3.60m ,Premier League
Adam Matthews,£1.35m ,Premier League
Billy Jones,£1.35m ,Premier League
Donald Love,£900Th. ,Premier League
Josh Robson, ,Premier League
Jack Rodwell,£4.50m ,Premier League
