name,Market Value,current league
Anders Lindegaard,£4.50m ,Premier League
Tomasz Kuszczak,£1.13m ,Premier League
Ben Amos,£675Th. ,Premier League
Nemanja Vidic‎,£22.95m ,Premier League
Phil Jones,£16.20m ,Premier League
Chris Smalling,£13.50m ,Premier League
Jonny Evans,£8.55m ,Premier League
Rio Ferdinand,£5.40m ,Premier League
Michael Keane,£90Th. ,Premier League
Reece Brown, ,Premier League
Tom Thorpe, ,Premier League
Patrice Evra,£13.95m ,Premier League
Zeki Fryers, ,Premier League
Antonio Valencia,£24.75m ,Premier League
Rafael,£8.10m ,Premier League
Fábio,£6.75m ,Premier League
Ritchie De Laet,£1.13m ,Premier League
Marnick Vermijl, ,Premier League
Michael Carrick,£12.60m ,Premier League
Anderson,£10.80m ,Premier League
Darren Fletcher,£9.00m ,Premier League
Tom Cleverley,£7.65m ,Premier League
Darron Gibson,£3.15m ,Premier League
Paul Pogba,£3.15m ,Premier League
Paul Scholes,£900Th. ,Premier League
Larnell Cole, ,Premier League
Ashley Young,£24.30m ,Premier League
Ryan Giggs,£900Th. ,Premier League
Wayne Rooney,£58.50m ,Premier League
Ji-sung Park,£5.85m ,Premier League
Ravel Morrison,£675Th. ,Premier League
Jesse Lingard, ,Premier League
Nani,£32.85m ,Premier League
Chicharito,£16.20m ,Premier League
Danny Welbeck,£15.30m ,Premier League
Dimitar Berbatov,£10.35m ,Premier League
Mame Diouf,£4.50m ,Premier League
Federico Macheda,£2.25m ,Premier League
Michael Owen,£1.35m ,Premier League
Will Keane, ,Premier League
Heurelho Gomes,£1.80m ,Premier League
Brad Friedel,£900Th. ,Premier League
Carlo Cudicini,£450Th. ,Premier League
Younès Kaboul,£13.50m ,Premier League
Michael Dawson,£9.90m ,Premier League
Vedran Corluka,£6.75m ,Premier League
Sébastien Bassong,£4.05m ,Premier League
Steven Caulker,£3.60m ,Premier League
William Gallas,£2.25m ,Premier League
Ledley King,£1.80m ,Premier League
Bongani Khumalo,£900Th. ,Premier League
Ryan Nelsen,£675Th. ,Premier League
Benoît Assou-Ekotto,£11.70m ,Premier League
Danny Rose,£2.70m ,Premier League
Kyle Walker,£14.40m ,Premier League
Kyle Naughton,£3.60m ,Premier League
Adam Smith,£270Th. ,Premier League
Ryan Fredericks, ,Premier League
Jack Barthram, ,Premier League
Sandro,£10.35m ,Premier League
Tom Huddlestone,£5.40m ,Premier League
Jake Livermore,£2.70m ,Premier League
Kevin Stewart, ,Premier League
Luka Modric,£35.10m ,Premier League
Scott Parker,£9.90m ,Premier League
Jermaine Jenas,£5.85m ,Premier League
John Bostock,- ,Premier League
Dean Parrett,- ,Premier League
Massimo Luongo, ,Premier League
Tom Carroll, ,Premier League
Jake Nicholson, ,Premier League
David Bentley,£4.05m ,Premier League
Rafael van der Vaart,£22.05m ,Premier League
Niko Kranjcar,£6.75m ,Premier League
Alex Pritchard, ,Premier League
Steven Pienaar,£6.30m ,Premier League
Simon Dawkins,£180Th. ,Premier League
Cristian Ceballos, ,Premier League
Gareth Bale,£36.00m ,Premier League
Aaron Lennon,£14.40m ,Premier League
Iago Falque,£1.80m ,Premier League
Andros Townsend,£450Th. ,Premier League
Giovani dos Santos,£4.50m ,Premier League
Emmanuel Adebayor,£22.50m ,Premier League
Jermain Defoe,£9.00m ,Premier League
Roman Pavlyuchenko,£7.65m ,Premier League
Peter Crouch,£5.85m ,Premier League
Louis Saha,£1.13m ,Premier League
Harry Kane, ,Premier League
Cameron Lancaster, ,Premier League
Wojciech Szczesny,£12.60m ,Premier League
Lukasz Fabianski,£2.25m ,Premier League
Vito Mannone,£675Th. ,Premier League
Emiliano Martínez, ,Premier League
Thomas Vermaelen,£16.65m ,Premier League
Laurent Koscielny,£16.20m ,Premier League
Per Mertesacker,£12.60m ,Premier League
Johan Djourou,£5.40m ,Premier League
Sébastien Squillaci,£1.35m ,Premier League
Ignasi Miquel,- ,Premier League
Daniel Boateng,- ,Premier League
Kieran Gibbs,£4.50m ,Premier League
Armand Traoré,£2.25m ,Premier League
Jernade Meade, ,Premier League
Bacary Sagna,£17.10m ,Premier League
Carl Jenkinson,£900Th. ,Premier League
Alex Song,£25.65m ,Premier League
Francis Coquelin,£2.70m ,Premier League
Emmanuel Frimpong,£1.35m ,Premier League
Craig Eastmond,£450Th. ,Premier League
Nico Yennaris, ,Premier League
Jack Wilshere,£19.80m ,Premier League
Mikel Arteta,£13.05m ,Premier League
Alex Oxlade-Chamberlain,£12.15m ,Premier League
Aaron Ramsey,£10.35m ,Premier League
Abou Diaby,£4.50m ,Premier League
Henri Lansbury,£1.35m ,Premier League
Oguzhan Özyakup,£158Th. ,Premier League
Samir Nasri,£22.50m ,Premier League
André Santos,£6.75m ,Premier League
Tomas Rosicky,£3.15m ,Premier League
Gervinho,£12.60m ,Premier League
Sanchez Watt,- ,Premier League
Theo Walcott,£17.10m ,Premier League
Yossi Benayoun,£4.05m ,Premier League
Ryo Miyaichi,£2.70m ,Premier League
Andrey Arshavin,£9.90m ,Premier League
Robin van Persie,£42.75m ,Premier League
Nicklas Bendtner,£7.65m ,Premier League
Marouane Chamakh,£4.95m ,Premier League
Thierry Henry,£2.70m ,Premier League
Gilles Sunu,£1.35m ,Premier League
Pepe Reina,£14.40m ,Premier League
Brad Jones,£1.35m ,Premier League
Doni,£450Th. ,Premier League
Péter Gulácsi, ,Premier League
Martin Skrtel,£16.20m ,Premier League
Daniel Agger,£13.50m ,Premier League
Sebastián Coates,£4.50m ,Premier League
Jamie Carragher,£1.80m ,Premier League
Danny Wilson,£1.35m ,Premier League
José Enrique,£11.70m ,Premier League
Fábio Aurélio,£810Th. ,Premier League
Jack Robinson, ,Premier League
Glen Johnson,£10.80m ,Premier League
Martin Kelly,£4.50m ,Premier League
Jon Flanagan,£1.35m ,Premier League
Lucas Leiva,£13.50m ,Premier League
Jay Spearing,£2.70m ,Premier League
Steven Gerrard,£13.95m ,Premier League
Raúl Meireles,£13.50m ,Premier League
Jordan Henderson,£13.50m ,Premier League
Charlie Adam,£7.20m ,Premier League
Jonjo Shelvey,£2.70m ,Premier League
Stewart Downing,£10.80m ,Premier League
Maxi Rodríguez,£3.15m ,Premier League
Craig Bellamy,£2.70m ,Premier League
Raheem Sterling, ,Premier League
Dirk Kuyt,£4.05m ,Premier League
Luis Suárez,£26.10m ,Premier League
Andy Carroll,£13.95m ,Premier League
David N'Gog,£2.70m ,Premier League
Nathan Eccleston,- ,Premier League
Tim Howard,£3.60m ,Premier League
Jan Mucha,£1.35m ,Premier League
Marcus Hahnemann,£450Th. ,Premier League
Phil Jagielka,£10.80m ,Premier League
Johnny Heitinga,£8.10m ,Premier League
Sylvain Distin,£1.80m ,Premier League
Shkodran Mustafi,£90Th. ,Premier League
Shane Duffy,- ,Premier League
Leighton Baines,£17.10m ,Premier League
Seamus Coleman,£4.50m ,Premier League
Tony Hibbert,£1.80m ,Premier League
Phil Neville,£1.35m ,Premier League
Jack Rodwell,£13.50m ,Premier League
Marouane Fellaini,£18.00m ,Premier League
Mikel Arteta,£13.05m ,Premier League
Ross Barkley,£4.05m ,Premier League
Leon Osman,£4.05m ,Premier League
Darron Gibson,£3.15m ,Premier League
Jose Baxter,- ,Premier League
James Wallace,- ,Premier League
Adam Forshaw, ,Premier League
Royston Drenthe,£3.60m ,Premier League
Diniyar Bilyaletdinov,£5.85m ,Premier League
Tim Cahill,£4.50m ,Premier League
Steven Pienaar,£6.30m ,Premier League
Conor McAleny, ,Premier League
Landon Donovan,£3.15m ,Premier League
James McFadden,£1.35m ,Premier League
Nikica Jelavic,£8.10m ,Premier League
Victor Anichebe,£3.15m ,Premier League
Jermaine Beckford,£2.25m ,Premier League
Magaye Gueye,£2.25m ,Premier League
Denis Stracqualursi,£1.80m ,Premier League
Apostolos Vellios,£1.80m ,Premier League
Louis Saha,£1.13m ,Premier League
João Silva,£990Th. ,Premier League
Shay Given,£2.70m ,Premier League
Brad Guzan,£1.80m ,Premier League
Andy Marshall,£225Th. ,Premier League
James Collins,£4.50m ,Premier League
Carlos Cuéllar,£4.05m ,Premier League
Richard Dunne,£3.15m ,Premier League
Ciaran Clark,£3.15m ,Premier League
Nathan Baker,£675Th. ,Premier League
Shane Lowry,£450Th. ,Premier League
Derrick Williams, ,Premier League
Stephen Warnock,£4.05m ,Premier League
Enda Stevens,£225Th. ,Premier League
Alan Hutton,£5.40m ,Premier League
Luke Young,£1.35m ,Premier League
Eric Lichaj,£1.35m ,Premier League
Habib Bèye,£225Th. ,Premier League
Jean II Makoun,£5.40m ,Premier League
Chris Herd,£2.25m ,Premier League
Jermaine Jenas,£5.85m ,Premier League
Barry Bannan,£4.50m ,Premier League
Fabian Delph,£3.15m ,Premier League
Gary Gardner,£1.35m ,Premier League
Jonathan Hogg,£450Th. ,Premier League
Stiliyan Petrov,- ,Premier League
Samir Carruthers, ,Premier League
Marc Albrighton,£4.50m ,Premier League
Stephen Ireland,£4.95m ,Premier League
Daniel Johnson, ,Premier League
Jack Grealish, ,Premier League
Charles N'Zogbia,£8.10m ,Premier League
Andreas Weimann,£1.35m ,Premier League
Graham Burke, ,Premier League
Darren Bent,£18.00m ,Premier League
Gabriel Agbonlahor,£10.80m ,Premier League
Robbie Keane,£4.05m ,Premier League
Nathan Delfouneso,£2.25m ,Premier League
Emile Heskey,£900Th. ,Premier League
Simon Mignolet,£4.95m ,Premier League
Craig Gordon,£2.70m ,Premier League
Keiren Westwood,£1.35m ,Premier League
Trevor Carson,£225Th. ,Premier League
Michael Turner,£4.05m ,Premier League
John O'Shea,£3.15m ,Premier League
Anton Ferdinand,£3.15m ,Premier League
Titus Bramble,£2.70m ,Premier League
Wes Brown,£1.80m ,Premier League
Matthew Kilgallon,£1.80m ,Premier League
Marcos Angeleri,£450Th. ,Premier League
Sotiris Kyrgiakos,£450Th. ,Premier League
John Egan, ,Premier League
Louis Laing, ,Premier League
Kieran Richardson,£4.50m ,Premier League
Wayne Bridge,£1.80m ,Premier League
George McCartney,£1.35m ,Premier League
Phil Bardsley,£5.40m ,Premier League
Ahmed Elmohamady,£2.70m ,Premier League
Lee Cattermole,£5.40m ,Premier League
Jack Colback,£4.05m ,Premier League
David Vaughan,£2.70m ,Premier League
Adam Reed,- ,Premier League
Sebastian Larsson,£6.75m ,Premier League
Craig Gardner,£5.40m ,Premier League
David Meyler,£675Th. ,Premier League
James McClean,£3.60m ,Premier League
Stéphane Sessègnon,£13.05m ,Premier League
Jordan Cook,£225Th. ,Premier League
Asamoah Gyan,£10.80m ,Premier League
Nicklas Bendtner,£7.65m ,Premier League
Connor Wickham,£5.40m ,Premier League
Fraizer Campbell,£3.15m ,Premier League
Dong-won Ji,£2.25m ,Premier League
Ryan Noble,£225Th. ,Premier League
Craig Lynch, ,Premier League
Tim Krul,£7.65m ,Premier League
Fraser Forster,£1.80m ,Premier League
Steve Harper,£450Th. ,Premier League
Rob Elliot,£225Th. ,Premier League
Ole Söderberg,£180Th. ,Premier League
Fabricio Coloccini,£7.20m ,Premier League
Steven Taylor,£5.40m ,Premier League
Mike Williamson,£3.15m ,Premier League
Tamás Kádár,£450Th. ,Premier League
Paul Dummett, ,Premier League
Jeff Henderson, ,Premier League
Davide Santon,£7.20m ,Premier League
Danny Simpson,£4.95m ,Premier League
Ryan Taylor,£4.05m ,Premier League
James Tavernier,- ,Premier League
Cheik Tioté,£11.25m ,Premier League
James Perch,£1.80m ,Premier League
Yohan Cabaye,£14.85m ,Premier League
Jonás Gutiérrez,£7.20m ,Premier League
Joey Barton,£4.50m ,Premier League
Danny Guthrie,£3.60m ,Premier League
Dan Gosling,£1.35m ,Premier League
Alan Smith,£450Th. ,Premier League
Mehdi Abeid, ,Premier League
Shane Ferguson,£900Th. ,Premier League
Hatem Ben Arfa,£12.15m ,Premier League
Sylvain Marveaux,£2.70m ,Premier League
Gabriel Obertan,£2.70m ,Premier League
Sammy Ameobi,£1.80m ,Premier League
Ryan Donaldson,- ,Premier League
Papiss Demba Cissé,£17.10m ,Premier League
Demba Ba,£13.50m ,Premier League
Leon Best,£2.70m ,Premier League
Shola Ameobi,£1.80m ,Premier League
Peter Lövenkrands,£900Th. ,Premier League
Nile Ranger,£900Th. ,Premier League
Haris Vuckic,£675Th. ,Premier League
Asmir Begovic,£3.15m ,Premier League
Thomas Sörensen,£900Th. ,Premier League
Carlo Nash,£225Th. ,Premier League
Robert Huth,£7.20m ,Premier League
Ryan Shawcross,£7.20m ,Premier League
Marc Wilson,£4.50m ,Premier League
Ryan Shotton,£2.25m ,Premier League
Jonathan Woodgate,£1.35m ,Premier League
Matthew Upson,£1.13m ,Premier League
Danny Collins,£900Th. ,Premier League
Andrew Davies,£675Th. ,Premier League
Danny Higginbotham,£450Th. ,Premier League
Danny Pugh,£450Th. ,Premier League
Andy Wilkinson,£3.15m ,Premier League
Michael Clarkson, ,Premier League
Wilson Palacios,£4.95m ,Premier League
Glenn Whelan,£3.60m ,Premier League
Salif Diao,£450Th. ,Premier League
Diego Arismendi,£450Th. ,Premier League
Dean Whitehead,£2.70m ,Premier League
Michael Tonge,£450Th. ,Premier League
Rory Delap,£450Th. ,Premier League
Tom Soares,£360Th. ,Premier League
Lucas Dawson, ,Premier League
Matthew Etherington,£3.60m ,Premier League
Jonathan Walters,£4.50m ,Premier League
Jermaine Pennant,£3.15m ,Premier League
Peter Crouch,£5.85m ,Premier League
Kenwyne Jones,£4.50m ,Premier League
Cameron Jerome,£3.60m ,Premier League
Ricardo Fuller,£900Th. ,Premier League
Mamady Sidibé,£450Th. ,Premier League
David Stockdale,£3.15m ,Premier League
Mark Schwarzer,£1.35m ,Premier League
Neil Etheridge,£450Th. ,Premier League
Csaba Somogyi,£225Th. ,Premier League
Brede Hangeland,£7.20m ,Premier League
Philippe Senderos,£2.70m ,Premier League
Aaron Hughes,£1.80m ,Premier League
Matthew Briggs,£1.35m ,Premier League
Rafik Halliche,£675Th. ,Premier League
John Arne Riise,£3.60m ,Premier League
Stephen Kelly,£1.80m ,Premier League
Zdenek Grygera,£1.13m ,Premier League
Mahamadou Diarra,£2.25m ,Premier League
Chris Baird,£1.80m ,Premier League
Dickson Etuhu,£1.80m ,Premier League
Mousa Dembélé,£11.70m ,Premier League
Steve Sidwell,£2.25m ,Premier League
Danny Murphy,£900Th. ,Premier League
Marcel Gecov,£450Th. ,Premier League
Jonathan Greening,£225Th. ,Premier League
Alex Smith,- ,Premier League
Tom Donegan, ,Premier League
Pajtim Kasami,£2.25m ,Premier League
Damien Duff,£1.35m ,Premier League
Simon Davies,£900Th. ,Premier League
Björn Helge Riise,£450Th. ,Premier League
Bryan Ruíz,£9.00m ,Premier League
Kerim Frei,£2.70m ,Premier League
Alexander Kacaniklic,£900Th. ,Premier League
Clint Dempsey,£13.50m ,Premier League
Bobby Zamora,£4.50m ,Premier League
Pavel Pogrebnyak,£4.05m ,Premier League
Andy Johnson,£2.25m ,Premier League
Orlando Sá,£900Th. ,Premier League
Lauri Dalla Valle,£225Th. ,Premier League
Marcello Trotta,£225Th. ,Premier League
Paddy Kenny,£900Th. ,Premier League
Radek Cerny,£450Th. ,Premier League
Brian Murphy,£450Th. ,Premier League
Elvijs Putnins,£45Th. ,Premier League
Nedum Onuoha,£3.60m ,Premier League
Anton Ferdinand,£3.15m ,Premier League
Bradley Orr,£1.35m ,Premier League
Matthew Connolly,£1.35m ,Premier League
Kaspars Gorkss,£900Th. ,Premier League
Clint Hill,£675Th. ,Premier League
Fitz Hall,£675Th. ,Premier League
Peter Ramage,£675Th. ,Premier League
Danny Shittu,£675Th. ,Premier League
Danny Gabbidon,£450Th. ,Premier League
Bruno Perone,£225Th. ,Premier League
Taye Taiwo,£5.85m ,Premier League
Armand Traoré,£2.25m ,Premier League
Luke Young,£1.35m ,Premier League
Michael Harriman, ,Premier League
Samba Diakité,£4.05m ,Premier League
Shaun Derry,£450Th. ,Premier League
Adel Taarabt,£6.75m ,Premier League
Joey Barton,£4.50m ,Premier League
Alejandro Faurlín,£4.05m ,Premier League
Ákos Buzsáky,£900Th. ,Premier League
Martin Rowlands,£675Th. ,Premier League
Kieron Dyer,£450Th. ,Premier League
Hogan Ephraim,£450Th. ,Premier League
Petter Vaagan Moen,£855Th. ,Premier League
Jason Puncheon,£675Th. ,Premier League
Ángelo Balanta,£113Th. ,Premier League
Lee Cook,£450Th. ,Premier League
Bruno Andrade,- ,Premier League
Shaun Wright-Phillips,£3.15m ,Premier League
Jordan Gibbons, ,Premier League
Djibril Cissé,£5.40m ,Premier League
Bobby Zamora,£4.50m ,Premier League
Jamie Mackie,£3.15m ,Premier League
Federico Macheda,£2.25m ,Premier League
DJ Campbell,£1.35m ,Premier League
Jay Bothroyd,£1.35m ,Premier League
Tommy Smith,£675Th. ,Premier League
Rowan Vine,£450Th. ,Premier League
Patrick Agyemang,£450Th. ,Premier League
Rob Hulse,£450Th. ,Premier League
Heidar Helguson,£450Th. ,Premier League
Antonio German,£225Th. ,Premier League
Troy Hewitt, ,Premier League
Ádám Bogdán,£1.80m ,Premier League
Jussi Jääskeläinen,£900Th. ,Premier League
Rob Lainton,- ,Premier League
Jay Lynch, ,Premier League
Gary Cahill,£14.85m ,Premier League
David Wheater,£2.25m ,Premier League
Dedryck Boyata,£1.80m ,Premier League
Tim Ream,£1.80m ,Premier League
Zat Knight,£900Th. ,Premier League
Paul Robinson,£450Th. ,Premier League
Mark Connolly,£45Th. ,Premier League
Marcos Alonso,£1.35m ,Premier League
Ricardo Gardner,£450Th. ,Premier League
Adam Blakeman, ,Premier League
Tyrone Mears,£2.25m ,Premier League
Sam Ricketts,£2.25m ,Premier League
Grétar Steinsson,£1.80m ,Premier League
Joe Riley, ,Premier League
Nigel Reo-Coker,£4.50m ,Premier League
Sean Davis,£675Th. ,Premier League
Stuart Holden,£4.95m ,Premier League
Fabrice Muamba,£4.50m ,Premier League
Mark Davies,£3.60m ,Premier League
Darren Pratley,£675Th. ,Premier League
Josh Vela, ,Premier League
Gregg Wylde,£1.80m ,Premier League
Gaël Kakuta,£3.60m ,Premier League
Tuncay Sanli,£1.13m ,Premier League
Martin Petrov,£900Th. ,Premier League
Michael O'Halloran, ,Premier League
Chung-yong Lee,£6.75m ,Premier League
Chris Eagles,£4.95m ,Premier League
Ryo Miyaichi,£2.70m ,Premier League
Robbie Blake,£450Th. ,Premier League
David N'Gog,£2.70m ,Premier League
Marvin Sordell,£2.25m ,Premier League
Ivan Klasnic,£1.13m ,Premier League
Kevin Davies,£900Th. ,Premier League
Paul Robinson,£1.80m ,Premier League
Mark Bunn,£675Th. ,Premier League
Sebastian Usai,- ,Premier League
Jake Kean, ,Premier League
Christopher Samba,£10.80m ,Premier League
Scott Dann,£3.60m ,Premier League
Grant Hanley,£1.80m ,Premier League
Gaël Givet,£1.35m ,Premier League
Bradley Orr,£1.35m ,Premier League
Ryan Nelsen,£675Th. ,Premier League
Hérold Goulon,£450Th. ,Premier League
Myles Anderson, ,Premier League
Martin Olsson,£4.05m ,Premier League
Marcus Olsson,£1.35m ,Premier League
Adam Henley,£675Th. ,Premier League
Míchel Salgado,£450Th. ,Premier League
Bruno Ribeiro,£225Th. ,Premier League
Steven Nzonzi,£4.05m ,Premier League
Radosav Petrovic,£1.80m ,Premier League
Jason Lowe,£1.35m ,Premier League
Morten Gamst Pedersen,£4.05m ,Premier League
Vince Grella,£450Th. ,Premier League
Amine Linganzi,£225Th. ,Premier League
Brett Emerton,£1.35m ,Premier League
Josh Morris,£450Th. ,Premier League
Mauro Formica,£2.70m ,Premier League
David Dunn,£1.35m ,Premier League
Rubén Rochina,£900Th. ,Premier League
Robbie Cotton, ,Premier League
Junior Hoilett,£8.10m ,Premier League
Jordan Slew,£900Th. ,Premier League
Simon Vukcevic,£2.25m ,Premier League
Nick Blackman,£450Th. ,Premier League
Yakubu Aiyegbeni,£6.75m ,Premier League
Anthony Modeste,£3.15m ,Premier League
David Goodwillie,£2.25m ,Premier League
Jason Roberts,£225Th. ,Premier League
Wayne Hennessey,£4.95m ,Premier League
Dorus de Vries,£675Th. ,Premier League
Carl Ikeme,£450Th. ,Premier League
Roger Johnson,£4.50m ,Premier League
Sébastien Bassong,£4.05m ,Premier League
Christophe Berra,£3.60m ,Premier League
Richard Stearman,£2.25m ,Premier League
Ronald Zubar,£1.80m ,Premier League
George Elokobi,£1.35m ,Premier League
Jody Craddock,£225Th. ,Premier League
Stephen Ward,£3.60m ,Premier League
Jamie Reckord, ,Premier League
Kevin Foley,£2.70m ,Premier League
Matt Doherty,- ,Premier League
Karl Henry,£2.25m ,Premier League
Emmanuel Frimpong,£1.35m ,Premier League
Eggert Gunnthór Jónsson,£900Th. ,Premier League
Jamie O'Hara,£4.50m ,Premier League
David Edwards,£1.80m ,Premier League
Nenad Milijas,£1.80m ,Premier League
Adlène Guédioura,£900Th. ,Premier League
David Davis,£225Th. ,Premier League
Jack Price, ,Premier League
Anthony Forde, ,Premier League
Stephen Hunt,£2.25m ,Premier League
Michael Kightly,£1.80m ,Premier League
Matt Jarvis,£7.20m ,Premier League
Johnny Gorman, ,Premier League
Adam Hammill,£900Th. ,Premier League
Steven Fletcher,£5.40m ,Premier League
Kevin Doyle,£4.05m ,Premier League
Sylvan Ebanks-Blake,£1.35m ,Premier League
Stefan Maierhofer,£1.17m ,Premier League
Andy Keogh,£900Th. ,Premier League
Sam Vokes,£675Th. ,Premier League
Leigh Griffiths,£675Th. ,Premier League
James Spray, ,Premier League
Ben Foster,£4.50m ,Premier League
Márton Fülöp,£900Th. ,Premier League
Luke Daniels,£225Th. ,Premier League
Liam Ridgewell,£2.25m ,Premier League
Gabriel Tamas,£1.80m ,Premier League
Paul Scharner,£1.80m ,Premier League
Gonzalo Jara,£1.58m ,Premier League
Gareth McAuley,£1.35m ,Premier League
Craig Dawson,£1.35m ,Premier League
Paul Downing,- ,Premier League
Marek Cech,£2.70m ,Premier League
Nicky Shorey,£1.80m ,Premier League
Joe Mattock,£450Th. ,Premier League
Steven Reid,£1.35m ,Premier League
Billy Jones,£1.35m ,Premier League
James Hurst,£45Th. ,Premier League
Youssouf Mulumbu,£3.15m ,Premier League
George Thorne,- ,Premier League
Chris Brunt,£5.85m ,Premier League
James Morrison,£4.05m ,Premier League
Graham Dorrans,£2.25m ,Premier League
Keith Andrews,£900Th. ,Premier League
Zoltán Gera,£900Th. ,Premier League
Sam Mantom,- ,Premier League
Somen Tchoyi,£2.25m ,Premier League
Scott Allan,£450Th. ,Premier League
Jerome Thomas,£2.70m ,Premier League
Peter Odemwingie,£4.95m ,Premier League
Shane Long,£4.05m ,Premier League
Simon Cox,£1.80m ,Premier League
Marc-Antoine Fortuné,£1.35m ,Premier League
Chris Wood,£900Th. ,Premier League
Roman Bednár,£450Th. ,Premier League
Saido Berahino, ,Premier League
Kemar Roofe, ,Premier League
Ali Al Habsi,£4.50m ,Premier League
Chris Kirkland,£675Th. ,Premier League
Mike Pollitt,£225Th. ,Premier League
Lee Nicholls,£225Th. ,Premier League
Maynor Figueroa,£4.95m ,Premier League
Antolín Alcaraz,£3.60m ,Premier League
Gary Caldwell,£2.70m ,Premier League
Steve Gohouri,£900Th. ,Premier League
Adrián López,£450Th. ,Premier League
Jean Beausejour,£5.40m ,Premier League
Patrick van Aanholt,£1.35m ,Premier League
Jordan Mustoe, ,Premier League
Ronnie Stam,£2.70m ,Premier League
Emmerson Boyce,£1.35m ,Premier League
David Jones,£1.35m ,Premier League
Hendry Thomas,£1.35m ,Premier League
James McCarthy,£4.95m ,Premier League
Mohamed Diamé,£4.50m ,Premier League
Ben Watson,£2.70m ,Premier League
Jordi Gómez,£2.70m ,Premier League
James McArthur,£2.25m ,Premier League
Victor Moses,£5.85m ,Premier League
Shaun Maloney,£2.25m ,Premier League
Daniel Redmond,- ,Premier League
Albert Crusat,£1.35m ,Premier League
Callum McManaman,£675Th. ,Premier League
Hugo Rodallega,£4.05m ,Premier League
Franco Di Santo,£3.15m ,Premier League
Conor Sammon,£675Th. ,Premier League
Nouha Dicko, ,Premier League
Michel Vorm,£7.65m ,Premier League
José Moreira,£900Th. ,Premier League
Gerhard Tremmel,£450Th. ,Premier League
Ashley Williams,£3.60m ,Premier League
Steven Caulker,£3.60m ,Premier League
Vangelis Moras,£540Th. ,Premier League
Alan Tate,£450Th. ,Premier League
Garry Monk,£450Th. ,Premier League
Darnel Situ,£225Th. ,Premier League
Joe Walsh,- ,Premier League
Neil Taylor,£2.70m ,Premier League
Fede Bessone,£450Th. ,Premier League
Ángel Rangel,£3.15m ,Premier League
Jazz Richards,£900Th. ,Premier League
Curtis Obeng,£225Th. ,Premier League
Daniel Alfei,- ,Premier League
Kemy Agustien,£900Th. ,Premier League
Josh McEachran,£4.05m ,Premier League
Joe Allen,£3.60m ,Premier League
Leon Britton,£3.15m ,Premier League
Ferrie Bodde,£900Th. ,Premier League
Andrea Orlandi,£450Th. ,Premier League
Mark Gower,£450Th. ,Premier League
Lee Lucas,- ,Premier League
Scott Donnelly,£225Th. ,Premier League
