Name,MarketValue16-17,League16-17,MarketValue17-18,age,height,position,foot,current club,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes,current league
StÃ©phane Bahoken,,,Â£2.70m,28,185,Forward - Centre-Forward,right,SCO Angers,6,0,0,105,11,2,0,273,5,0,0,193,28,4,1,1716,30,6,1,1644,34,7,4,1737,32,9,1,2080,33,11,2,2583,24,7,2,1195,5,2,0,315,Ligue 1
Fabiano,,,Â£540Th.,32,197,Goalkeeper,right,Omonia Nicosia,34,40,11,3116,13,8,7,1096,28,22,15,2488,38,22,24,3342,17,16,7,1484,14,12,7,1169,1,0,1,10,9,6,5,864,11,6,7,990,10,7,5,990,Liga NOS
Mateusz Zachara,,,Â£180Th.,30,176,Forward - Centre-Forward,right,FK Zeleziarne Podbrezova,29,7,1,2294,13,1,1,783,33,12,6,2385,44,13,6,2917,,,,,31,4,2,1391,10,0,0,609,9,0,0,455,22,4,2,1260,3,2,0,225,Liga NOS
Anton Zabolotny,,,Â£1.35m,29,191,Forward - Centre-Forward,right,FC Sochi,1,0,0,8,5,1,0,171,26,3,1,1305,,,,,29,5,3,1500,34,16,5,2562,33,5,2,2697,30,3,4,812,25,6,8,1673,10,2,0,571,Premier Liga
Sofiane Hanni,,,Â£7.20m,29,178,Midfielder - Attacking Midfield,right,Al-Gharafa SC,32,10,7,2635,34,4,16,2644,34,8,14,2685,43,10,8,3466,38,17,9,3002,55,13,19,4197,42,12,8,3035,27,4,6,1883,21,11,5,1788,3,2,1,270,Premier Liga
Odise Roshi,,,Â£1.26m,29,187,Forward - Right Winger,right,Akhmat Grozny,20,1,1,555,32,2,1,891,25,1,3,874,22,3,2,1422,25,2,1,636,21,1,7,1167,21,1,3,1265,13,0,0,594,28,8,1,1983,6,2,0,250,Premier Liga
Artur Nigmatullin,,,Â£810Th.,29,194,Goalkeeper,right,Arsenal Tula,0,0,0,0,0,0,0,0,3,12,0,270,19,29,3,1710,33,64,22,2970,39,29,17,3510,33,29,16,3030,19,17,9,1686,2,4,0,210,5,8,1,446,Premier Liga
Ilnur Alshin,,,Â£540Th.,27,176,Forward - Right Winger,right,Baltika Kaliningrad,1,0,0,59,,,,,,,,,8,1,0,265,30,6,4,2069,37,2,6,2442,35,7,1,2608,33,2,6,2331,28,4,5,2428,15,3,2,1270,Premier Liga
Lukasz Sekulski,,,Â£270Th.,29,187,Forward - Centre-Forward,right,LKS Lodz,25,4,2,1356,35,12,0,1564,19,0,2,691,36,31,1,3153,23,2,4,692,22,5,4,1399,29,5,3,1050,28,9,1,1467,21,5,1,1056,8,5,0,367,Premier Liga
Anton Kobyalko,,,Â£90Th.,34,180,Forward - Centre-Forward,right,FC Pyunik Yerevan,1,1,0,90,26,6,3,1461,22,7,2,1606,38,8,2,1661,24,1,0,484,28,1,3,954,23,3,1,784,32,21,9,1865,34,9,7,1733,7,2,0,508,Premier Liga
Thibaut Courtois,Â£36.00m,Premier League,Â£54.00m,28,199,Goalkeeper,left,Real Madrid,52,50,24,4612,46,35,24,4170,56,40,28,5070,39,35,16,3504,30,38,6,2650,39,32,17,3510,46,47,19,4170,35,48,10,3150,43,32,21,3855,5,3,3,450,Premier League
Pedro,Â£25.20m,Premier League,Â£22.50m,33,167,Forward - Right Winger,both,AS Roma,48,13,6,2774,45,10,11,3415,54,19,13,3320,50,11,9,2199,43,9,3,2781,43,13,12,2723,48,7,5,2509,52,13,5,3099,23,2,3,1273,4,2,1,341,Premier League
Juan Mata,Â£27.00m,Premier League,Â£27.00m,32,170,Midfielder - Attacking Midfield,left,Manchester United,54,12,20,4138,64,19,35,4914,32,7,8,2347,35,10,4,2442,54,10,11,4115,42,10,6,2739,40,3,7,2677,32,6,4,1779,37,3,7,1939,3,2,2,258,Premier League
Romelu Lukaku,Â£45.00m,Premier League,Â£81.00m,27,191,Forward - Centre-Forward,left,Inter Milan,23,9,2,1394,38,17,7,2250,36,16,8,2805,48,20,7,3762,46,25,7,4023,39,26,7,3447,51,27,9,4071,45,15,4,3001,51,34,6,4189,4,4,0,335,Premier League
Zlatan Ibrahimovic,Â£9.00m,Premier League,Â£3.60m,39,195,Forward - Centre-Forward,both,AC Milan,44,35,12,3807,46,35,17,4083,46,41,17,3750,37,30,8,3111,51,50,18,4146,46,28,10,3847,34,23,7,2330,31,31,8,2790,20,11,5,1509,3,5,0,270,Premier League
James Wilson,Â£1.80m,Premier League,Â£1.80m,24,183,Forward - Centre-Forward,left,Salford City,1,0,0,30,1,0,1,21,18,14,1,1397,27,6,1,1256,30,6,3,1476,5,1,0,288,19,4,0,1180,33,4,3,1417,22,2,4,1049,7,2,1,491,Premier League
Santi Cazorla,Â£10.80m,Premier League,Â£2.25m,35,168,Midfielder - Central Midfield,both,Al-Sadd SC,42,9,8,3466,49,12,14,4251,46,7,9,3630,53,8,15,4305,23,0,5,1965,11,2,3,856,,,,,46,7,11,3117,45,17,13,3265,2,3,2,180,Premier League
Hugo Lloris,Â£21.60m,Premier League,Â£22.50m,33,188,Goalkeeper,left,Tottenham Hotspur,53,64,12,4844,36,38,11,3330,45,58,18,4080,44,55,13,3871,47,46,15,4230,43,37,17,3815,43,43,16,3870,44,48,16,3949,27,37,6,2348,7,10,0,630,Premier League
Heung-min Son,Â£27.00m,Premier League,Â£45.00m,28,184,Forward - Left Winger,both,Tottenham Hotspur,30,5,1,1431,34,12,2,2786,43,12,7,3225,42,17,4,3181,42,8,5,2001,47,21,9,2972,53,18,11,3379,48,20,10,3292,41,18,12,3174,7,8,4,558,Premier League
Erik Lamela,Â£22.50m,Premier League,Â£18.00m,28,184,Forward - Right Winger,left,Tottenham Hotspur,31,6,7,2048,36,15,6,2857,17,1,4,951,46,5,10,2919,44,11,10,3072,14,2,7,944,34,4,7,1380,33,6,3,1550,35,4,6,1659,6,2,0,285,Premier League
Mohamed Salah,Â£31.50m,Serie A,Â£135.00m,28,175,Forward - Right Winger,left,Liverpool FC,15,7,3,1318,50,10,11,2873,40,12,8,2624,34,9,6,2129,42,15,7,3402,41,19,15,3185,52,44,16,4119,52,27,12,4342,48,23,13,4091,7,6,0,601,Premier League
Jordan Pickford,Â£13.50m,Premier League,Â£27.00m,26,185,Goalkeeper,left,Everton FC,20,44,3,1800,24,30,7,2160,33,43,12,2970,40,41,15,3521,31,34,14,2761,33,53,5,2970,46,70,12,4140,40,50,14,3600,43,61,11,3870,7,10,1,630,Premier League
AndrÃ© Ayew,Â£16.20m,Premier League,Â£13.50m,30,176,Forward - Left Winger,left,Swansea City,39,16,4,3153,45,12,5,3846,29,8,4,2482,30,11,6,2519,35,12,5,2943,26,6,3,1453,36,6,5,2361,38,5,2,2620,47,18,7,4116,6,2,1,540,Premier League
Robert Snodgrass,Â£7.20m,Premier League,Â£6.30m,33,182,Forward - Right Winger,left,West Ham United,44,13,15,3799,40,7,9,3314,34,7,5,2906,3,0,0,155,29,5,6,2004,39,9,6,2862,43,8,13,3427,38,4,9,2565,26,5,5,1675,4,2,1,264,Premier League
Dusan Tadic,Â£15.30m,Premier League,Â£13.50m,31,181,Forward - Left Winger,left,Ajax Amsterdam,35,7,10,3170,51,16,22,4342,34,16,14,3039,37,5,9,2555,40,9,14,2606,44,3,8,3107,41,7,4,3190,56,38,23,4797,42,16,21,3672,5,3,2,415,Premier League
Hal Robson-Kanu,Â£2.25m,Premier League,Â£2.25m,31,183,Forward - Centre-Forward,left,West Bromwich Albion,38,4,4,2011,30,7,5,1685,37,4,4,1803,36,4,1,2601,35,5,7,2365,32,3,1,805,24,2,0,1027,41,5,1,1974,40,12,1,2405,5,3,0,230,Premier League
Scott Arfield,Â£2.70m,Premier League,Â£2.70m,31,178,Midfielder - Central Midfield,left,Rangers FC,40,2,4,2482,26,1,1,1422,49,9,3,3961,40,2,1,3474,49,8,6,4153,35,1,1,2366,20,2,1,1497,46,12,7,3605,49,9,5,3481,14,3,3,796,Premier League
Luigi Sepe,Â£1.35m,Serie A,Â£900Th.,29,185,Goalkeeper,left,Parma Calcio 1913,6,8,1,540,35,37,9,3187,40,40,13,3600,32,35,11,2910,7,7,3,630,0,0,0,0,3,2,2,270,38,60,10,3420,35,54,5,3150,4,9,1,360,Serie A
Federico Marchetti,Â£1.80m,Serie A,Â£720Th.,37,188,Goalkeeper,left,Genoa CFC,39,48,14,3482,46,40,21,4123,26,39,8,2340,30,29,11,2608,35,48,11,3089,18,23,3,1575,,,,,6,13,2,570,0,0,0,0,1,6,0,90,Serie A
Cristian Tello,Â£7.20m,Serie A,Â£5.40m,29,178,Forward - Left Winger,both,Real Betis BalompiÃ©,38,12,2,1737,34,8,6,1631,30,5,5,830,37,8,11,2119,35,4,5,2093,42,4,8,2416,33,6,4,1773,41,5,9,2413,30,3,1,993,6,2,0,251,LaLiga
Etrit Berisha,Â£4.95m,Serie A,Â£6.30m,31,194,Goalkeeper,left,SPAL,34,47,9,3060,28,24,12,2520,23,29,9,2070,17,13,8,1469,20,23,5,1681,27,29,11,2430,42,45,10,3780,22,30,7,2010,29,49,3,2610,3,4,1,270,Serie A
Diego Falcinelli,Â£4.50m,Serie A,Â£3.42m,29,186,Forward - Centre-Forward,left,Red Star Belgrade,18,1,0,773,41,5,6,3025,35,4,2,2625,42,15,3,3037,27,3,2,1232,40,13,4,3211,35,3,1,1960,17,1,1,849,29,3,0,1730,7,5,0,400,Serie A
Matteo Politano,Â£6.75m,Serie A,Â£19.80m,27,171,Forward - Right Winger,left,SSC Napoli,30,8,0,2097,33,8,0,2627,32,6,3,1840,49,6,7,3674,29,5,2,1071,42,8,8,2878,39,11,4,3010,48,6,6,3438,35,2,2,1198,3,2,0,91,Serie A
Domenico Berardi,Â£22.50m,Serie A,Â£16.20m,26,183,Forward - Right Winger,left,US Sassuolo,20,5,0,1516,39,11,6,2428,33,17,6,2498,35,15,13,2852,32,8,8,2451,25,10,11,2042,33,5,2,2424,37,10,4,3058,32,14,10,2591,4,3,1,357,Serie A
Emiliano Viviano,Â£3.60m,Serie A,Â£1.80m,34,195,Goalkeeper,left,Fatih KaragÃ¼mrÃ¼k,20,36,3,1755,32,34,12,2862,1,5,0,90,30,30,12,2632,40,62,8,3600,18,20,4,1620,27,43,6,2430,17,25,4,1525,,,,,3,3,1,270,Serie A
Andrea Tozzo,Â£158Th.,Serie A,Â£135Th.,28,192,Goalkeeper,left,Mantova FC,26,29,10,2370,33,37,10,2970,0,0,0,0,39,31,18,3540,4,4,2,360,19,28,5,1665,0,0,0,0,1,2,0,90,11,8,3,990,5,8,1,450,Serie A
Ervin Zukanovic,Â£3.15m,Serie A,Â£1.80m,33,188,Defender - Centre-Back,left,Fatih KaragÃ¼mrÃ¼k,42,4,1,3736,39,5,2,3344,22,2,1,1944,29,2,2,2441,29,3,1,2188,19,0,0,1380,31,0,1,2783,27,0,0,2168,6,0,0,473,5,2,1,450,Serie A
Guilherme,Â£3.60m,LaLiga,Â£3.60m,29,174,Forward - Right Winger,left,GÃ¶ztepe,27,1,1,1067,32,3,7,2522,2,0,0,164,30,1,2,2157,55,8,11,3830,41,7,8,2955,34,7,4,2469,35,5,7,2577,44,9,8,2649,4,2,0,223,Serie A
AdriÃ¡n OrtolÃ¡,Â£720Th.,LaLiga,Â£1.35m,27,187,Goalkeeper,left,CD Tenerife,0,0,0,0,9,11,2,743,7,9,2,630,25,44,3,2185,34,32,16,3029,8,4,5,720,30,35,5,2700,1,2,0,90,39,44,12,3500,6,7,2,540,LaLiga
Cristiano Ronaldo,Â£90.00m,LaLiga,Â£90.00m,35,187,Forward - Left Winger,both,Juventus FC,55,60,15,4902,55,55,13,4631,47,51,17,4030,54,61,23,4640,48,51,15,4293,46,42,12,4126,44,44,8,3678,43,28,11,3646,46,37,7,4081,2,3,0,180,LaLiga
Oussama Tannane,Â£2.70m,Ligue 1,Â£1.35m,26,178,Forward - Right Winger,left,Vitesse Arnhem,3,0,0,270,26,5,1,1432,33,7,3,1771,25,13,5,2110,27,12,5,1969,28,2,1,1795,17,0,3,813,17,1,4,1299,20,6,5,1526,5,2,0,405,LaLiga
Iago Aspas,Â£16.20m,LaLiga,Â£22.50m,33,176,Forward - Centre-Forward,left,Celta de Vigo,38,25,0,2560,37,12,7,3031,15,1,1,468,25,10,3,940,40,18,5,3075,49,26,8,3607,37,23,5,3092,29,21,6,2372,38,14,3,3323,6,3,0,540,LaLiga
Antonio AdÃ¡n,Â£7.20m,LaLiga,Â£4.50m,33,190,Goalkeeper,left,Sporting CP,5,4,2,472,8,9,2,621,23,38,6,2094,40,35,18,3600,37,54,12,3302,37,62,10,3330,30,53,9,2700,5,6,2,450,2,2,1,144,5,6,3,450,LaLiga
GaÃ«l Kakuta,Â£900Th.,LaLiga,Â£5.40m,29,173,Midfielder - Attacking Midfield,left,RC Lens,24,6,1,1606,29,2,6,2335,20,4,0,679,35,5,7,3061,29,3,4,1679,10,2,1,542,38,6,6,3198,12,1,0,720,24,2,5,2010,7,4,1,519,Ligue 1
Gerard Moreno,Â£7.20m,LaLiga,Â£18.00m,28,180,Forward - Centre-Forward,left,Villarreal CF,4,1,0,83,38,15,2,2731,32,12,7,2279,39,16,5,2629,36,7,3,2157,38,13,4,3400,44,19,2,3884,49,13,3,3086,37,20,6,2916,5,3,1,437,LaLiga
Fernando Pacheco,Â£4.50m,LaLiga,Â£8.10m,28,186,Goalkeeper,left,Deportivo AlavÃ©s,1,0,1,8,11,11,3,921,39,47,10,3445,1,0,1,90,42,37,21,3780,39,45,13,3510,38,50,12,3357,35,46,8,3150,27,37,7,2359,6,8,2,540,LaLiga
Christian Santos,Â£1.35m,LaLiga,Â£900Th.,32,184,Forward - Centre-Forward,left,VfL OsnabrÃ¼ck,36,16,3,3048,28,10,7,2297,2,0,0,28,38,23,10,2843,33,18,2,2917,27,5,1,1367,12,3,0,484,21,3,0,692,28,6,2,1087,4,3,1,226,LaLiga
Nabil El Zhar,Â£1.80m,LaLiga,Â£1.80m,34,170,Forward - Right Winger,both,Al-Ahli SC,27,1,3,1300,38,3,2,2136,28,5,3,1625,21,1,2,921,32,2,5,1873,28,4,4,1850,38,3,1,2665,30,4,0,1181,22,5,2,1919,3,2,0,256,LaLiga
Florian Thauvin,Â£16.20m,Ligue 1,Â£45.00m,27,179,Forward - Right Winger,left,Olympique Marseille,14,0,0,515,35,10,4,2522,41,10,6,2584,38,5,7,2655,38,5,2,1856,43,15,13,3500,54,26,17,4161,37,18,9,2942,2,0,0,20,7,3,4,566,Ligue 1
Dante,Â£1.80m,Ligue 1,Â£1.35m,37,188,Defender - Centre-Back,left,OGC Nice,38,0,0,3510,45,1,3,3997,47,4,5,3988,39,0,0,2838,35,1,0,2998,39,0,3,3510,48,2,1,4270,37,1,1,3347,25,1,1,2250,7,2,0,630,Ligue 1
Anthony Lopes,Â£12.60m,Ligue 1,Â£18.00m,30,184,Goalkeeper,left,Olympique Lyon,1,0,1,90,7,6,3,630,49,52,18,4352,45,43,17,4080,47,57,16,4230,54,69,17,4920,48,51,18,4320,47,60,12,4174,41,47,13,3720,7,7,2,630,Ligue 1
Mathieu Gorgelin,Â£360Th.,Ligue 1,Â£900Th.,30,187,Goalkeeper,left,AC Le Havre,8,20,2,720,0,0,0,0,3,2,1,238,0,0,0,0,3,3,1,270,2,4,0,210,5,10,1,450,10,15,1,866,29,28,10,2610,7,8,2,630,Ligue 1
Younousse SankharÃ©,Â£3.15m,Ligue 1,Â£4.50m,31,184,Midfielder - Central Midfield,left,CSKA Sofia,38,5,0,3140,20,0,2,1552,40,3,4,3372,41,0,5,3325,36,6,2,3251,41,7,4,3259,33,10,1,2234,33,4,5,2353,,,,,11,2,2,709,Ligue 1
Benjamin Lecomte,Â£2.25m,Ligue 1,Â£5.40m,29,186,Goalkeeper,left,AS Monaco,8,11,3,728,11,13,2,964,32,26,15,2796,39,51,10,3506,42,57,11,3752,36,59,5,3270,41,38,14,3720,38,43,11,3420,32,48,7,2880,6,8,1,540,Ligue 1
Rui PatrÃ­cio,Â£14.40m,Liga NOS,Â£14.40m,32,190,Goalkeeper,left,Wolverhampton Wanderers,47,41,21,4230,39,52,9,3540,31,24,15,2820,45,48,13,4080,47,39,20,4156,38,42,14,3420,56,48,23,5100,37,46,8,3330,53,54,19,4770,5,7,3,450,Liga NOS
Romain Salin,Â£450Th.,Ligue 1,Â£180Th.,36,189,Goalkeeper,left,Stade Rennais FC,8,8,4,720,32,36,10,2877,24,46,18,2095,33,41,6,3030,31,47,6,2637,4,6,1,420,4,2,3,390,18,14,6,1598,7,9,2,630,6,7,1,540,Liga NOS
Bryan RuÃ­z,Â£4.50m,Liga NOS,Â£1.35m,35,188,Midfielder - Attacking Midfield,left,LD Alajuelense,38,7,9,2409,31,5,9,2544,28,6,7,2055,32,5,4,2189,46,13,15,3611,42,3,8,2707,47,2,5,2241,,,,,,,,,8,2,1,562,Liga NOS
JesÃºs Corona,Â£10.80m,Liga NOS,Â£10.80m,27,173,Forward - Right Winger,both,FC Porto,13,2,2,453,38,5,4,1874,19,2,0,581,33,13,5,2721,39,8,5,2541,41,6,9,2219,41,3,5,2178,53,7,15,3673,51,4,21,4154,4,2,2,353,Liga NOS
Marafona,Â£2.25m,Liga NOS,Â£1.35m,33,190,Goalkeeper,left,Alanyaspor,29,24,12,2610,32,33,10,2879,26,12,16,2340,38,51,10,3450,33,78,22,3000,35,41,10,3094,,,,,10,8,4,930,40,44,9,3600,6,3,3,540,Liga NOS
Wagner,Â£450Th.,Liga NOS,Â£180Th.,33,173,Forward - Left Winger,left,FC Penafiel,38,9,1,2175,33,2,2,1892,43,8,2,2596,34,4,3,1829,25,2,4,1567,30,4,0,1900,8,0,0,312,28,4,4,1670,23,5,1,1309,7,2,0,392,Liga NOS
Tornike Okriashvili,Â£1.35m,Premier Liga,Â£900Th.,28,181,Midfielder - Attacking Midfield,both,Anorthosis Famagusta,10,1,0,331,29,4,3,2372,25,3,1,1654,24,2,0,1602,26,2,0,1175,13,1,1,535,4,1,0,84,7,2,0,296,14,3,1,1109,6,4,1,493,Premier Liga
Ilya Abaev,Â£180Th.,Premier Liga,Â£90Th.,39,193,Goalkeeper,left,Chertanovo Moscow,1,1,0,120,11,25,1,990,27,42,24,2430,13,9,6,1130,2,1,1,180,2,2,1,180,13,11,5,1098,11,6,6,990,20,14,10,1830,13,17,3,1170,Premier Liga
Sergey Tkachev,Â£1.80m,Premier Liga,Â£2.52m,31,184,Midfielder - Attacking Midfield,left,Arsenal Tula,5,0,0,151,15,10,1,1072,19,3,2,877,20,4,1,1205,28,3,1,1621,21,3,1,1163,29,6,5,2421,30,5,9,2073,31,3,9,2168,8,2,2,437,Premier Liga
Vitali Gudiev,Â£180Th.,Premier Liga,Â£720Th.,25,192,Goalkeeper,left,Akhmat Grozny,1,1,0,90,4,7,1,360,9,7,5,763,2,7,0,135,0,0,0,0,3,4,1,270,10,16,2,900,3,6,0,300,4,6,1,360,5,5,2,450,Premier Liga
Giorgi Shelia,Â£450Th.,Premier Liga,Â£450Th.,31,190,Goalkeeper,left,Akhmat Grozny,1,0,1,120,11,11,4,990,16,14,6,1440,22,28,6,1980,39,49,11,3507,13,9,7,1118,1,1,0,120,16,14,7,1470,29,41,6,2610,7,10,1,630,Premier Liga
Tim Krul,,,Â£2.25m,32,193,Goalkeeper,left,Norwich City,42,58,15,3870,31,47,7,2757,38,53,11,3450,31,47,9,2790,9,18,1,810,28,48,6,2580,8,10,2,705,46,57,13,4140,38,71,5,3480,5,5,1,450,Premier League
Felipe Avenatti,,,Â£1.08m,27,196,Forward - Centre-Forward,left,Standard LiÃ¨ge,5,1,0,147,29,11,3,2245,25,2,3,832,39,13,5,3198,37,6,4,2131,40,12,3,2771,14,2,0,734,32,15,3,2331,24,2,0,900,7,3,1,489,Serie A
Ander Cantero,,,Â£270Th.,25,189,Goalkeeper,left,CD Lugo,0,0,0,0,21,35,3,1805,0,0,0,0,17,18,8,1530,0,0,0,0,37,40,10,3330,34,28,15,3060,11,21,2,1020,35,43,10,3180,6,8,1,540,LaLiga
Bono,,,Â£2.70m,29,192,Goalkeeper,left,Sevilla FC,6,6,1,540,24,30,7,2160,23,30,7,2070,19,25,6,1692,19,17,9,1710,21,24,7,1890,31,48,9,2745,32,43,9,2862,18,9,12,1574,5,5,1,480,LaLiga
Haris Seferovic,,,Â£3.60m,28,186,Forward - Centre-Forward,left,SL Benfica,21,2,0,737,27,11,6,1968,40,4,2,1859,34,11,8,2987,33,4,5,2567,29,4,0,1405,29,7,2,1364,51,27,9,3592,45,9,5,2197,4,3,0,141,Liga NOS
Aleksandr Sapeta,,,Â£1.44m,31,179,Midfielder - Central Midfield,left,FK Nizhny Novgorod,3,0,0,62,25,2,2,1192,7,1,0,430,19,1,3,1195,31,7,5,2465,36,3,2,2834,18,0,0,1241,28,3,1,2203,24,0,1,1991,16,4,2,1440,Premier Liga
Anton Shunin,,,Â£900Th.,33,191,Goalkeeper,left,Dynamo Moscow,5,2,3,480,28,34,7,2550,7,10,2,630,4,4,1,360,8,14,1,720,35,25,16,3150,30,30,11,2700,30,28,11,2700,24,22,8,2083,12,10,6,1080,Premier Liga
Anton Shvets,,,Â£2.52m,27,190,Midfielder - Defensive Midfield,both,Akhmat Grozny,4,0,0,168,33,0,1,1452,1,0,0,4,30,1,0,2215,20,3,0,1161,21,0,0,851,26,3,0,2205,20,2,0,1725,21,0,1,1586,9,2,0,482,Premier Liga
Leroy SanÃ©,Â£31.50m,Premier League,Â£81.00m,24,184,Forward - Left Winger,left,Bayern Munich,16,1,1,284,17,1,2,769,38,13,15,2910,27,9,3,1658,42,9,7,2925,37,9,8,2597,49,14,19,3648,47,16,18,2694,3,0,0,81,3,1,2,216,Premier League
Olivier Giroud,Â£19.80m,Premier League,Â£16.20m,34,193,Forward - Centre-Forward,left,Chelsea FC,42,25,12,3698,47,17,12,3201,51,22,12,4092,36,19,4,2379,53,24,6,3373,40,16,7,1780,44,12,3,2187,45,13,10,2186,25,10,1,1408,3,1,0,111,Premier League
Nathan AkÃ©,Â£7.20m,Premier League,Â£13.50m,25,180,Defender - Centre-Back,left,Manchester City,5,0,0,309,23,2,0,1727,25,2,4,2125,13,0,1,987,28,1,0,2233,17,3,1,1311,40,2,3,3449,39,4,1,3502,30,2,2,2595,5,1,0,305,Premier League
Paul Pogba,Â£67.50m,Premier League,Â£81.00m,27,191,Midfielder - Central Midfield,both,Manchester United,23,3,6,1559,37,5,0,2282,51,9,16,4192,41,10,11,3340,49,10,13,4284,51,9,6,4350,37,6,12,2879,47,16,11,4012,22,1,4,1608,5,1,0,264,Premier League
Vincent Janssen,Â£11.70m,Premier League,Â£8.10m,26,183,Forward - Centre-Forward,left,CF Monterrey,3,0,0,60,15,6,0,1127,38,11,3,2646,38,22,9,3436,49,32,7,3971,38,6,4,1351,19,5,4,947,5,1,0,144,32,11,2,1690,8,1,0,331,Premier League
Riyad Mahrez,Â£27.00m,Premier League,Â£45.00m,29,179,Forward - Right Winger,left,Manchester City,9,0,1,441,38,5,6,2399,40,9,10,2818,32,4,3,2242,39,18,10,3128,48,10,7,3766,41,13,13,3339,44,12,12,2581,50,13,16,3149,5,1,1,437,Premier League
Jason Puncheon,Â£4.95m,Premier League,Â£4.50m,34,173,Midfielder - Attacking Midfield,left,Pafos FC,11,0,0,456,34,6,7,2233,36,7,4,2618,39,6,7,2893,35,3,5,2933,39,0,6,3234,12,0,0,750,15,0,0,745,16,0,1,1267,6,1,1,540,Premier League
Andros Townsend,Â£10.80m,Premier League,Â£13.50m,29,181,Forward - Right Winger,left,Crystal Palace,30,2,8,2005,27,5,8,1654,35,3,8,1973,35,6,6,2017,27,7,6,1992,40,3,7,2820,39,2,9,3297,45,9,6,3569,25,1,1,1379,6,1,2,470,Premier League
Charlie Adam,Â£3.15m,Premier League,Â£2.25m,34,185,Midfielder - Central Midfield,left,Dundee FC,35,2,10,2665,30,3,6,1941,35,9,4,1972,36,7,1,1918,25,1,1,1305,30,2,4,1920,17,1,1,902,20,1,1,938,28,2,4,1128,2,1,0,169,Premier League
Xherdan Shaqiri,Â£13.50m,Premier League,Â£16.20m,29,169,Forward - Right Winger,left,Liverpool FC,41,9,12,3097,39,8,13,1896,27,7,4,1252,35,5,4,1710,32,3,6,2294,22,4,2,1781,38,8,7,3080,30,6,5,1413,11,1,0,293,1,1,0,75,Premier League
Ben Foster,Â£3.60m,Premier League,Â£2.70m,37,193,Goalkeeper,left,Watford FC,39,53,10,3510,31,48,7,2790,26,40,5,2283,30,34,14,2604,19,23,5,1740,38,51,6,3420,41,61,11,3690,38,59,7,3420,38,64,9,3420,5,1,4,450,Premier League
Piotr Zielinski,Â£18.00m,Serie A,Â£28.80m,26,180,Midfielder - Central Midfield,both,SSC Napoli,12,2,0,1011,21,7,2,1363,13,1,0,334,30,0,3,1193,36,5,4,3126,47,6,6,2453,47,7,1,2431,49,7,2,3628,49,2,6,3875,2,1,1,161,Serie A
GrÃ©goire Defrel,Â£8.10m,Serie A,Â£9.00m,29,179,Forward - Centre-Forward,left,US Sassuolo,24,4,0,1325,30,3,3,1760,44,4,5,3117,36,9,6,2826,35,7,6,2099,38,16,5,2591,20,1,0,644,39,12,2,2514,17,3,3,977,3,1,1,186,Serie A
Lucas Ocampos,Â£4.95m,Serie A,Â£10.80m,26,187,Forward - Right Winger,both,Sevilla FC,23,3,0,1735,32,5,3,1577,39,7,5,1736,40,5,2,1638,25,4,1,1328,29,3,2,1518,53,16,4,3668,40,5,8,3217,44,17,5,3574,5,1,0,389,Ligue 1
Felipe Caicedo,Â£2.70m,LaLiga,Â£2.25m,32,183,Forward - Centre-Forward,left,SS Lazio,8,2,1,352,24,6,1,1227,29,6,1,1503,40,12,2,2102,34,10,0,2360,29,2,2,1342,33,6,3,1300,38,9,6,1973,38,9,6,1944,3,1,0,168,Serie A
Cristiano Biraghi,Â£2.25m,Serie A,Â£4.50m,28,185,Defender - Left-Back,left,ACF Fiorentina,12,0,0,680,36,0,4,2947,23,0,1,1555,19,0,0,1394,33,0,1,2887,37,1,4,3169,35,1,4,3055,40,1,6,3555,37,3,7,2121,4,1,1,358,Serie A
Maximiliano Olivera,Â£1.35m,Serie A,Â£900Th.,28,182,Defender - Left-Back,left,FC JuÃ¡rez,16,0,2,1404,28,3,4,2281,31,3,3,2722,31,3,5,2745,35,2,5,3147,27,0,1,1899,7,0,0,409,5,0,1,390,9,1,2,611,13,1,0,1142,Serie A
Mattia Aramu,Â£360Th.,Serie A,Â£360Th.,25,180,Forward - Right Winger,left,Venezia FC,10,2,0,501,21,7,0,1579,32,20,0,2820,25,2,0,1204,23,5,2,1340,18,1,1,1252,29,1,1,1490,32,8,6,2038,33,13,6,2452,3,1,0,174,Serie A
Goran Pandev,Â£360Th.,Serie A,Â£450Th.,37,184,Forward - Second Striker,left,Genoa CFC,42,7,6,1961,41,7,10,2561,41,8,8,1900,17,7,2,1042,16,0,0,881,23,7,1,1123,33,5,1,1889,28,4,3,1249,35,9,3,1730,3,1,0,182,Serie A
